ScanNumber	ScanTypeName	ScanType
1	HMS	1
2	CID-MSn	2
3	CID-MSn	2
4	CID-MSn	2
5	HMS	1
6	CID-MSn	2
7	CID-MSn	2
8	CID-MSn	2
9	HMS	1
10	CID-MSn	2
11	CID-MSn	2
12	CID-MSn	2
13	HMS	1
14	CID-MSn	2
15	CID-MSn	2
16	CID-MSn	2
17	HMS	1
18	CID-MSn	2
19	CID-MSn	2
20	CID-MSn	2
21	HMS	1
22	CID-MSn	2
23	CID-MSn	2
24	CID-MSn	2
25	HMS	1
26	CID-MSn	2
27	CID-MSn	2
28	CID-MSn	2
29	HMS	1
30	CID-MSn	2
31	CID-MSn	2
32	CID-MSn	2
33	HMS	1
34	CID-MSn	2
35	CID-MSn	2
36	CID-MSn	2
37	HMS	1
38	CID-MSn	2
39	CID-MSn	2
40	CID-MSn	2
41	HMS	1
42	CID-MSn	2
43	CID-MSn	2
44	CID-MSn	2
45	HMS	1
46	CID-MSn	2
47	CID-MSn	2
48	CID-MSn	2
49	HMS	1
50	CID-MSn	2
51	CID-MSn	2
52	CID-MSn	2
53	HMS	1
54	CID-MSn	2
55	CID-MSn	2
56	CID-MSn	2
57	HMS	1
58	CID-MSn	2
59	CID-MSn	2
60	CID-MSn	2
61	HMS	1
62	CID-MSn	2
63	CID-MSn	2
64	CID-MSn	2
65	HMS	1
66	CID-MSn	2
67	CID-MSn	2
68	CID-MSn	2
69	HMS	1
70	CID-MSn	2
71	CID-MSn	2
72	CID-MSn	2
73	HMS	1
74	CID-MSn	2
75	CID-MSn	2
76	CID-MSn	2
77	HMS	1
78	CID-MSn	2
79	CID-MSn	2
80	CID-MSn	2
81	HMS	1
82	CID-MSn	2
83	CID-MSn	2
84	CID-MSn	2
85	HMS	1
86	CID-MSn	2
87	CID-MSn	2
88	CID-MSn	2
89	HMS	1
90	CID-MSn	2
91	CID-MSn	2
92	CID-MSn	2
93	HMS	1
94	CID-MSn	2
95	CID-MSn	2
96	CID-MSn	2
97	HMS	1
98	CID-MSn	2
99	CID-MSn	2
100	CID-MSn	2
101	HMS	1
102	CID-MSn	2
103	CID-MSn	2
104	CID-MSn	2
105	HMS	1
106	CID-MSn	2
107	CID-MSn	2
108	CID-MSn	2
109	HMS	1
110	CID-MSn	2
111	CID-MSn	2
112	CID-MSn	2
113	HMS	1
114	CID-MSn	2
115	CID-MSn	2
116	CID-MSn	2
117	HMS	1
118	CID-MSn	2
119	CID-MSn	2
