Unique_Seq_ID	Mod_Count	Mod_Description	Monoisotopic_Mass
1	0		1089.52364
2	0		1018.48653
3	0		1198.64177
4	0		1040.53625
5	0		1187.61455
6	0		1380.60915
7	0		1124.576
8	0		1162.6458
9	0		1648.81681
10	0		1045.53381
11	0		1614.83246
12	0		1101.54139
13	0		917.48176
14	0		1171.60974
15	0		1364.70476
16	0		1325.59863
17	0		2140.05076
18	0		1672.89948
19	0		1576.78446
20	0		1068.60393
21	0		1298.75573
22	0		901.52323
23	0		1606.92933
24	0		1260.65608
25	0		1283.67207
26	0		1261.70297
27	0		1943.08391
28	0		1619.88819
29	0		939.57527
30	0		982.60623
31	0		1699.92563
32	0		1245.67504
33	0		1683.84269
34	0		1089.61819
35	0		1657.86093
36	0		1903.11415
37	0		1357.76385
38	0		1484.85616
39	0		1578.84388
40	0		1785.96578
41	0		1374.8598
42	0		1786.98281
43	0		2880.53438
44	0		1857.88561
45	0		1717.79403
46	0		2467.18726
47	0		2086.05948
48	0		1816.00936
49	0		1780.9543
50	0		1811.99919
51	1	Plus1Oxy:3	1922.93416
52	0		2292.00037
53	0		1839.92669
54	0		1837.92094
55	0		2039.10101
56	0		2176.13879
57	0		2108.11124
58	0		1988.99753
59	0		1943.91836
60	0		2855.47106
61	0		1663.84163
62	0		2153.03881
63	0		2256.17827
64	0		1493.73611
65	0		2340.25824
66	0		1632.88344
67	0		2062.06938
68	0		2192.08475
69	0		1953.922
70	0		1600.6827
71	0		1595.72152
72	0		2612.32334
73	0		2190.04079
74	0		2729.40952
75	0		1581.81187
76	0		1746.83833
77	0		1901.00058
78	0		1794.85696
79	0		1898.99885
80	0		1929.96828
81	0		1994.05056
82	0		2192.12584
83	0		1954.873
84	0		1823.92775
85	0		2311.08616
86	0		1518.75249
87	0		2180.07823
88	0		3008.47256
89	0		1488.75718
90	0		2333.18619
91	0		1577.80486
92	0		1554.87287
93	0		2644.42166
94	0		2111.01298
95	0		1330.72443
96	0		3576.7847
97	0		2015.01451
98	0		1678.90015
99	0		2760.41802
100	0		1644.80751
101	0		1937.9846
102	0		1993.86124
103	0		2215.17821
104	0		2352.34493
105	0		1754.82566
106	0		1567.69696
107	0		1860.96928
108	0		2109.14287
109	0		1703.87293
110	0		1664.94603
111	0		1808.85398
112	0		1669.97258
113	0		1423.83979
114	0		1712.86924
115	0		1520.75824
116	0		1697.8736
117	0		1546.73751
118	0		1424.83504
119	0		1766.85734
120	0		2343.17456
121	0		1723.98314
122	0		1780.95449
123	0		1653.9049
124	2	Dehydro:2,Dehydro:7	1723.70754
125	0		1621.8423
126	0		2623.21194
127	0		1763.8186
128	0		2417.30255
129	0		1485.8038
130	0		1732.87835
131	0		1507.72661
132	0		1568.75038
133	0		1466.77283
134	0		1564.73031
135	0		1217.57098
136	0		1704.71141
137	0		1967.94841
138	0		1517.78373
139	0		1559.73678
140	0		1631.75388
141	0		1330.74556
142	0		2221.18138
143	0		1753.86343
144	0		3313.75162
145	0		1600.83207
146	0		2903.49285
147	0		1429.71605
148	0		1671.81754
149	1	Plus1Oxy:21	2368.33985
150	0		1498.83543
151	0		2236.10827
152	0		1611.87321
153	0		1804.96822
154	0		1702.8485
155	0		1593.83232
156	0		1358.64005
157	0		1255.72477
158	0		1805.8736
159	0		1890.94346
160	0		1955.94485
161	0		1611.89433
162	0		1759.97191
163	0		1402.76419
164	0		1551.84805
165	0		2212.18104
166	0		1355.77719
167	0		2659.34269
168	0		1592.81575
169	0		2361.04679
170	0		2020.04758
171	0		2368.20217
172	0		2513.31581
173	0		2178.10299
174	0		2128.98803
175	0		1971.9173
176	0		1837.81178
177	0		1501.77356
178	0		1896.9329
179	0		1906.91725
180	0		1310.62545
181	0		1658.80519
182	0		1400.76227
183	0		2309.29937
184	0		2118.11085
185	0		1513.70482
186	0		1882.99991
187	0		1567.79535
188	0		1497.87657
189	0		1734.84236
190	0		1533.81503
191	0		2117.0487
192	0		1622.7787
193	0		1928.0326
194	0		2529.25724
195	0		1834.97226
196	0		2830.44998
197	0		1814.92742
198	0		1598.89909
199	0		1757.82935
200	0		2025.00539
201	0		1888.0087
202	0		1439.67478
203	0		1708.82018
204	0		1803.7443
205	0		2304.17424
206	0		1388.80268
207	0		1705.92497
208	0		1521.7344
209	0		1540.75949
210	0		2341.23889
211	0		1767.85346
212	0		1624.84599
213	0		1562.73645
214	0		1685.83721
215	0		1869.03188
216	0		1957.97779
217	0		1710.92636
218	0		1338.72549
219	0		3504.84624
220	0		1601.80823
221	0		1368.77647
222	0		2213.93882
223	0		972.52396
224	0		3026.49251
225	0		1602.81536
226	0		2151.18395
227	0		1275.65708
228	0		1405.65067
229	0		1516.78446
230	0		1328.59963
231	0		1664.77534
232	0		2129.17311
233	0		1471.76299
234	0		1705.83827
235	0		2412.11137
236	0		1567.72661
237	0		1385.78776
238	0		1337.70912
239	0		1351.75713
240	0		1512.78954
241	0		1358.68633
242	0		2015.9799
243	0		1478.73645
244	0		1460.72588
245	0		1303.68052
246	0		2258.28578
247	0		1642.85003
248	0		2500.24779
249	0		1262.63668
250	1	Plus1Oxy:1	2395.17285
251	0		2222.23816
252	0		1801.79
253	0		1907.92979
254	0		2564.35972
255	0		1207.59851
256	0		1865.87544
257	0		1431.77211
258	0		2715.46077
259	0		1785.83213
260	0		2140.96604
261	0		1330.65166
262	0		2569.21261
263	0		2481.14809
264	0		1165.60908
265	0		1549.73334
266	0		1673.89875
267	0		1254.62037
268	0		2604.35801
269	0		1595.82665
270	0		1522.70852
271	0		1395.67035
272	1	Dehydro:7	2163.98358
273	0		1315.74992
274	0		1413.77144
275	0		1823.99919
276	0		1349.64624
277	0		1903.94947
278	0		1256.69755
279	0		1376.64275
280	0		2234.05577
281	0		1530.72484
282	0		1512.75718
283	0		1951.02612
284	0		3709.80444
285	0		1297.66256
286	0		1346.72272
287	0		1403.6979
288	0		1414.83946
289	0		1942.92714
290	0		2675.26013
291	0		1337.60986
292	0		1854.98387
293	0		2107.03735
294	0		1400.75104
295	0		1274.66521
296	0		2080.04443
297	0		1308.77647
298	0		1719.90557
299	0		2221.13779
300	0		1294.65906
301	0		3244.63626
302	0		1466.80922
303	0		1855.85873
304	0		1883.99516
305	0		1519.76702
306	0		1582.91809
307	1	Plus1Oxy:2	1611.75753
308	0		1264.6411
309	0		1924.86581
310	0		1565.74082
311	0		2208.13985
312	0		1556.81575
313	0		1573.77356
314	0		1795.88522
315	0		1900.98935
316	0		1535.78306
317	0		2556.23559
318	0		2647.32273
319	0		1393.70884
