ScanNumber	ScanTime	ScanType	ScanTypeName	PrecursorMz	ScanFilterText
2	0.0101	2	CID-MSn	307.86	ITMS + c NSI d Full ms2 307.86@cid35.00 [70.00-935.00]
3	0.0219	2	CID-MSn	522.8	ITMS + c NSI d Full ms2 522.80@cid35.00 [130.00-1060.00]
4	0.0338	2	CID-MSn	528.6	ITMS + c NSI d Full ms2 528.60@cid35.00 [135.00-1600.00]
8	0.0664	2	CID-MSn	388.71	ITMS + c NSI d Full ms2 388.71@cid35.00 [95.00-790.00]
20	0.1508	2	CID-MSn	684.21	ITMS + c NSI d Full ms2 684.21@cid35.00 [175.00-1380.00]
29	0.2168	2	CID-MSn	323.19	ITMS + c NSI d Full ms2 323.19@cid35.00 [75.00-1950.00]
31	0.2373	2	CID-MSn	313.31	ITMS + c NSI d Full ms2 313.31@cid35.00 [75.00-1890.00]
33	0.2575	2	CID-MSn	343.93	ITMS + c NSI d Full ms2 343.93@cid35.00 [80.00-700.00]
49	0.3692	2	CID-MSn	379.29	ITMS + c NSI d Full ms2 379.29@cid35.00 [90.00-770.00]
59	0.4405	2	CID-MSn	339.96	ITMS + c NSI d Full ms2 339.96@cid35.00 [80.00-690.00]
71	0.5249	2	CID-MSn	307.86	ITMS + c NSI d Full ms2 307.86@cid35.00 [70.00-935.00]
77	0.5701	2	CID-MSn	388.71	ITMS + c NSI d Full ms2 388.71@cid35.00 [95.00-790.00]
90	0.6612	2	CID-MSn	490.18	ITMS + c NSI d Full ms2 490.18@cid35.00 [120.00-1485.00]
96	0.7073	2	CID-MSn	531.84	ITMS + c NSI d Full ms2 531.84@cid35.00 [135.00-1075.00]
100	0.7393	2	CID-MSn	546.86	ITMS + c NSI d Full ms2 546.86@cid35.00 [140.00-1105.00]
115	0.844	2	CID-MSn	538.17	ITMS + c NSI d Full ms2 538.17@cid35.00 [135.00-1090.00]
118	0.8691	2	CID-MSn	421.83	ITMS + c NSI d Full ms2 421.83@cid35.00 [105.00-855.00]
127	0.9332	2	CID-MSn	313.31	ITMS + c NSI d Full ms2 313.31@cid35.00 [75.00-1890.00]
129	0.9533	2	CID-MSn	650.83	ITMS + c NSI d Full ms2 650.83@cid35.00 [165.00-1315.00]
133	0.9853	2	CID-MSn	610.19	ITMS + c NSI d Full ms2 610.19@cid35.00 [155.00-1845.00]
134	0.9987	2	CID-MSn	730.87	ITMS + c NSI d Full ms2 730.87@cid35.00 [190.00-1475.00]
140	1.0435	2	CID-MSn	543.31	ITMS + c NSI d Full ms2 543.31@cid35.00 [135.00-1100.00]
142	1.0619	2	CID-MSn	602.31	ITMS + c NSI d Full ms2 602.31@cid35.00 [155.00-1215.00]
145	1.087	2	CID-MSn	738.78	ITMS + c NSI d Full ms2 738.78@cid35.00 [190.00-1490.00]
146	1.0997	2	CID-MSn	436.88	ITMS + c NSI d Full ms2 436.88@cid35.00 [110.00-885.00]
148	1.1177	2	CID-MSn	454.87	ITMS + c NSI d Full ms2 454.87@cid35.00 [115.00-920.00]
158	1.1879	2	CID-MSn	385.24	ITMS + c NSI d Full ms2 385.24@cid35.00 [95.00-1170.00]
162	1.2196	2	CID-MSn	434.89	ITMS + c NSI d Full ms2 434.89@cid35.00 [105.00-880.00]
163	1.2312	2	CID-MSn	757.24	ITMS + c NSI d Full ms2 757.24@cid35.00 [195.00-1525.00]
166	1.2571	2	CID-MSn	309.21	ITMS + c NSI d Full ms2 309.21@cid35.00 [75.00-1250.00]
173	1.3082	2	CID-MSn	703.28	ITMS + c NSI d Full ms2 703.28@cid35.00 [180.00-1420.00]
181	1.3663	2	CID-MSn	456.87	ITMS + c NSI d Full ms2 456.87@cid35.00 [115.00-1385.00]
186	1.4048	2	CID-MSn	600.78	ITMS + c NSI d Full ms2 600.78@cid35.00 [155.00-1215.00]
192	1.4498	2	CID-MSn	393.91	ITMS + c NSI d Full ms2 393.91@cid35.00 [95.00-800.00]
193	1.4612	2	CID-MSn	788.46	ITMS + c NSI d Full ms2 788.46@cid35.00 [205.00-2000.00]
196	1.4877	2	CID-MSn	798.28	ITMS + c NSI d Full ms2 798.28@cid35.00 [205.00-1610.00]
200	1.5202	2	CID-MSn	546.87	ITMS + c NSI d Full ms2 546.87@cid35.00 [140.00-1105.00]
203	1.5452	2	CID-MSn	313.31	ITMS + c NSI d Full ms2 313.31@cid35.00 [75.00-1890.00]
