Result_ID	Unique_Seq_ID
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	12
26	25
27	26
28	27
29	19
30	10
31	28
32	29
33	22
34	22
35	22
36	30
37	31
38	22
39	4
40	19
41	22
42	32
43	30
44	33
45	34
46	35
47	36
48	22
49	10
50	29
51	37
52	38
53	39
54	40
55	41
56	26
57	42
58	32
59	30
60	43
61	29
62	40
63	29
64	44
65	29
66	29
67	8
68	45
69	46
70	22
71	40
72	47
73	48
74	29
75	49
76	50
77	51
78	52
79	40
80	53
81	54
82	42
83	25
84	29
85	55
86	56
87	51
88	57
89	58
90	29
91	29
92	59
93	60
94	61
95	35
96	62
97	63
98	63
99	64
100	50
101	65
102	66
103	67
104	68
105	69
106	70
107	71
108	35
109	72
110	40
111	73
112	74
113	75
114	76
115	52
116	35
117	10
118	77
119	78
120	29
121	79
122	42
123	80
124	30
125	63
126	47
127	47
128	40
129	81
130	82
131	59
132	83
133	84
134	85
135	86
136	87
137	64
138	88
139	89
140	90
141	91
142	92
143	52
144	93
145	74
146	35
147	64
148	40
149	52
150	94
151	95
152	64
153	96
154	97
155	63
156	98
157	99
158	100
159	101
160	102
161	103
162	88
163	104
164	52
165	105
166	106
167	78
168	107
169	108
170	64
171	64
172	109
173	110
174	44
175	111
176	111
177	33
178	112
179	113
180	114
181	115
182	116
183	117
184	118
185	51
186	64
187	89
188	119
189	40
190	40
191	120
192	102
193	121
194	80
195	122
196	101
197	90
198	123
199	46
200	119
201	124
202	125
203	126
204	96
205	64
206	63
207	127
208	107
209	40
210	128
211	100
212	129
213	74
214	90
215	52
216	64
217	110
218	52
219	10
220	122
221	127
222	63
223	130
224	63
225	63
226	131
227	132
228	133
229	134
230	135
231	64
232	136
233	107
234	137
235	67
236	71
237	138
238	139
239	140
240	64
241	64
242	141
243	127
244	142
245	143
246	144
247	144
248	145
249	146
250	147
251	22
252	84
253	148
254	43
255	149
256	150
257	151
258	152
259	153
260	80
261	154
262	52
263	97
264	155
265	60
266	83
267	156
268	157
269	158
270	51
271	126
272	126
273	159
274	160
275	161
276	32
277	162
278	40
279	52
280	163
281	52
282	80
283	164
284	165
285	166
286	167
287	148
288	168
289	169
290	170
291	171
292	146
293	172
294	126
295	80
296	173
297	174
298	175
299	64
300	176
301	177
302	178
303	126
304	126
305	52
306	179
307	71
308	71
309	180
310	64
311	181
312	182
313	178
314	183
315	35
316	126
317	184
318	185
319	176
320	40
321	186
322	52
323	187
324	4
325	188
326	46
327	132
328	71
329	189
330	190
331	186
332	22
333	168
334	191
335	97
336	52
337	126
338	192
339	180
340	121
341	35
342	29
343	193
344	194
345	195
346	126
347	196
348	97
349	40
350	74
351	30
352	33
353	197
354	198
355	199
356	200
357	201
358	201
359	202
360	126
361	203
362	204
363	64
364	174
365	205
366	206
367	30
368	207
369	52
370	208
371	209
372	149
373	210
374	211
375	212
376	213
377	30
378	214
379	145
380	215
381	63
382	126
383	199
384	216
385	179
386	179
387	217
388	199
389	126
390	76
391	218
392	219
393	38
394	220
395	197
396	221
397	126
398	93
399	222
400	223
401	224
402	29
403	216
404	225
405	52
406	156
407	226
408	167
409	227
410	228
411	74
412	229
413	118
414	230
415	231
416	216
417	232
418	126
419	2
420	233
421	202
422	62
423	234
424	235
425	236
426	237
427	52
428	78
429	97
430	238
431	10
432	126
433	239
434	145
435	113
436	240
437	76
438	126
439	126
440	241
441	242
442	243
443	243
444	52
445	244
446	196
447	245
448	246
449	247
450	190
451	171
452	243
453	248
454	164
455	249
456	250
457	251
458	193
459	126
460	126
461	252
462	126
463	71
464	119
465	253
466	47
467	33
468	195
469	117
470	164
471	254
472	255
473	256
474	257
475	192
476	258
477	259
478	260
479	184
480	113
481	35
482	63
483	261
484	262
485	29
486	259
487	126
488	263
489	264
490	29
491	126
492	265
493	266
494	176
495	199
496	63
497	267
498	208
499	268
500	269
501	269
502	270
503	126
504	126
505	271
506	35
507	272
508	232
509	273
510	243
511	243
512	274
513	199
514	275
515	276
516	177
517	47
518	45
519	277
520	278
521	279
522	280
523	145
524	126
525	281
526	216
527	282
528	93
529	126
530	126
531	283
532	284
533	284
534	285
535	286
536	287
537	288
538	192
539	289
540	290
541	279
542	291
543	292
544	292
545	293
546	294
547	295
548	296
549	52
550	297
551	254
552	254
553	158
554	298
555	152
556	215
557	299
558	300
559	288
560	135
561	301
562	302
