scan_num, scan_time, type, bpi, bpi_mz, tic, num_peaks, num_deisotoped
1,0.0019,1,404413.94,445.12351,4293724.5,3391,0
2,0.0082,1,312263.78,445.11909,3932417,3067,0
3,0.0143,1,357403.34,445.11902,4307102.5,3505,0
4,0.0203,1,391795.03,445.11939,4701133,3778,0
5,0.0264,1,393138.66,445.11921,4910078,4167,0
6,0.0324,1,387974.38,445.11898,4790973,4046,0
7,0.0384,1,378683.38,445.11922,4871192,4078,0
8,0.0445,1,403588.28,445.11919,4661501,3821,0
9,0.0505,1,340257.5,445.11949,3892095,3088,0
10,0.0566,1,357241.81,445.11962,3661748.2,2965,0
11,0.0626,1,397425.88,445.11930,4498747,3896,0
12,0.0686,1,393827.5,445.11919,4916246,4379,0
13,0.0747,1,371110.62,445.11927,3791552,3068,0
14,0.0807,1,368877.44,445.11918,4168726.8,3318,0
15,0.0868,1,368050.5,445.11977,4136632.5,3335,0
16,0.0928,1,384596.19,445.11923,4548864.5,3863,0
17,0.0989,1,348752.41,445.11912,4285586,3558,0
18,0.1049,1,335800,445.11959,3880262.2,3365,0
19,0.1109,1,356777.5,445.11936,4301450.5,3980,0
20,0.1170,1,328347.06,445.11931,3861935.8,3111,0
21,0.1230,1,362321.12,445.11905,4293458.5,3528,0
22,0.1291,1,378227.94,445.11904,4193475.5,3243,0
23,0.1351,1,336321.66,445.11911,4131913.2,3406,0
24,0.1411,1,395561.06,445.11847,4533904,3547,0
25,0.1472,1,359085.59,445.11920,3931993,3265,0
27,0.1548,1,331662.09,445.11875,3831465.2,3452,0
28,0.1608,1,317167.47,445.11858,3795602.8,3284,0
29,0.1669,1,357229.72,445.11889,3752451.8,3068,0
30,0.1729,1,358619.44,445.11891,3939147.5,3399,0
31,0.1789,1,347103.16,445.11898,3575313.8,2772,0
32,0.1850,1,316561.84,445.11870,4088619.2,3553,0
33,0.1910,1,374462.84,445.11889,4806381.5,4209,0
34,0.1971,1,337946.38,445.11843,3986836.5,3180,0
35,0.2031,1,409550.66,445.11844,4699710,3764,0
36,0.2091,1,411283.19,445.11858,4940899,3629,0
37,0.2151,1,389387.56,445.11841,4910106.5,3494,0
38,0.2212,1,378658.69,445.11838,4630100.5,3467,0
39,0.2273,1,371880.28,445.11849,4319612.5,2987,0
40,0.2333,1,388761.75,445.11831,4577865,3467,0
41,0.2394,1,366545.19,445.11844,4605924,3438,0
42,0.2454,1,357817.25,445.11855,4492309,3225,0
43,0.2514,1,386274.06,445.11859,4834546,3654,0
44,0.2574,1,394360.31,445.11837,5188989.5,3651,0
45,0.2635,1,384726.28,445.11816,4962790.5,3319,0
46,0.2695,1,377382.66,445.11834,4425908,3331,0
47,0.2756,1,389090.09,445.11844,4812692,3757,0
48,0.2816,1,349121.78,445.11856,4307505,3013,0
49,0.2877,1,436283.28,419.31418,4817733,3364,0
50,0.2937,1,385191.56,445.11863,4605667.5,3464,0
51,0.2998,1,363944.62,445.11847,4468269.5,3610,0
