Result_ID	Unique_Seq_ID
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	11
13	12
14	8
15	13
16	14
17	15
18	16
19	17
20	18
21	19
22	20
23	21
24	22
25	23
26	24
27	25
28	26
29	27
30	28
31	29
32	30
33	31
35	32
36	33
37	34
38	35
39	36
40	37
41	38
42	39
43	3
44	40
45	41
46	42
47	43
48	44
49	28
50	45
51	46
52	47
53	48
54	49
55	50
56	51
57	52
58	40
59	53
60	54
61	55
62	56
63	57
64	58
65	59
66	60
71	61
72	62
73	63
76	64
77	65
78	66
79	67
80	68
81	69
82	70
83	71
84	72
86	73
87	74
88	43
89	75
90	76
91	77
92	78
93	79
94	45
95	80
96	81
97	82
98	83
99	84
100	85
101	86
102	87
103	39
104	88
105	89
106	90
107	53
108	91
109	92
110	93
111	94
112	95
113	96
114	97
115	48
116	98
117	99
118	100
119	101
120	102
121	103
122	104
123	105
124	106
125	107
126	108
127	109
128	110
129	67
130	111
131	107
132	112
133	113
134	88
135	114
136	115
137	116
138	117
139	118
140	119
141	120
142	121
143	122
144	123
145	96
146	124
147	125
148	126
149	127
150	128
151	129
152	111
153	130
154	131
155	132
156	133
157	134
158	81
159	135
160	136
161	67
162	137
163	138
164	7
165	139
166	140
167	141
168	142
169	143
170	144
171	145
172	84
173	146
174	147
175	148
176	38
177	149
178	150
179	151
180	118
181	60
186	152
187	52
188	153
189	154
190	155
191	156
192	157
193	158
194	159
195	160
196	161
197	162
198	163
199	99
200	75
201	76
202	164
203	98
204	165
205	166
206	167
207	101
208	168
209	169
210	170
211	171
212	172
213	173
214	174
215	65
216	87
217	96
218	175
219	176
220	177
221	88
222	178
223	157
224	179
225	180
226	181
227	182
228	150
229	46
230	179
231	183
232	184
233	185
234	186
235	187
236	188
237	121
238	189
239	190
240	191
241	25
242	127
243	192
244	193
245	194
246	195
247	196
248	197
249	198
250	12
251	199
252	200
253	201
254	202
255	202
256	203
257	204
258	180
259	205
260	206
261	207
262	208
263	209
264	210
265	211
266	190
267	212
268	213
269	214
270	215
271	216
272	217
273	218
274	128
275	219
276	220
277	221
278	222
279	221
280	223
281	224
282	225
283	137
284	226
285	131
286	227
287	228
288	229
289	230
290	231
291	232
292	233
293	234
294	210
295	235
296	236
297	237
298	238
299	239
300	240
301	241
302	134
303	242
304	243
305	244
306	245
307	246
308	247
309	248
310	249
311	250
312	251
313	252
314	245
315	253
316	254
317	255
318	256
319	257
320	258
321	259
322	260
323	261
324	262
325	263
326	264
327	265
328	218
329	266
330	267
331	268
332	269
333	270
334	271
335	272
336	273
337	205
338	274
339	161
340	275
341	173
342	276
343	277
344	278
345	279
346	280
347	281
348	221
349	282
350	283
351	284
352	285
353	238
354	286
355	287
356	288
357	162
358	289
359	290
360	291
361	292
362	293
363	294
364	295
365	296
366	297
367	70
368	98
369	298
370	299
371	300
372	301
373	302
374	303
375	304
376	79
377	138
378	305
379	306
380	307
381	308
382	260
383	309
384	12
385	310
386	311
387	312
388	313
389	314
390	315
391	86
392	316
393	317
394	318
395	211
396	319
397	320
398	321
399	322
400	323
401	119
402	324
403	325
404	326
405	28
406	327
407	242
408	328
409	329
410	330
411	331
412	262
413	332
414	333
415	334
416	335
417	336
418	337
419	266
420	190
421	338
422	339
423	80
424	340
425	268
426	341
427	342
428	343
430	344
431	345
432	346
433	347
434	190
435	348
436	349
437	350
438	351
439	352
440	353
441	354
442	355
443	356
444	357
445	358
446	359
447	360
448	361
449	347
450	362
451	363
452	364
453	129
454	57
455	365
456	366
457	104
458	367
459	368
460	146
461	369
462	370
463	371
464	372
465	373
466	374
467	375
468	376
469	377
470	378
471	379
472	62
473	380
474	381
475	382
476	383
477	384
478	385
479	293
480	386
481	387
482	388
483	389
484	390
485	391
486	392
487	393
488	394
489	395
490	396
491	210
492	325
493	397
494	398
495	399
496	23
497	304
498	400
499	401
500	402
501	403
502	69
503	404
504	42
505	405
506	406
507	407
508	324
509	23
510	408
511	409
512	410
513	123
514	411
515	412
516	413
517	414
519	415
520	416
521	263
522	417
523	418
524	419
525	420
526	421
527	422
528	317
529	423
530	424
531	425
532	426
533	427
534	428
535	286
536	429
537	430
538	431
539	281
540	432
541	433
542	434
543	435
544	436
545	437
546	438
547	439
548	440
549	441
550	442
551	443
552	444
553	445
554	446
555	27
556	447
557	448
558	449
559	450
560	451
561	452
562	453
563	454
564	208
565	455
566	456
567	457
568	458
569	459
570	460
571	461
572	462
573	463
574	464
575	465
576	466
