Date	Type	Message
2017-02-14 09:41:42 PM	Normal	Parsing HCC-38_DDDT_4xdil_20uL_3hr_3_08Jan16_Pippin_15-08-53_dta.txt
2017-02-14 09:41:43 PM	Normal	Renamed HCC-38_DDDT_4xdil_20uL_3hr_3_08Jan16_Pippin_15-08-53_dta.txt to C:\DMS_WorkDir2\HCC-38_DDDT_4xdil_20uL_3hr_3_08Jan16_Pippin_15-08-53_dta.txt.bak
2017-02-14 09:41:43 PM	Normal	  Looking for ScanStats files for C:\DMS_WorkDir2\HCC-38_DDDT_4xdil_20uL_3hr_3_08Jan16_Pippin_15-08-53_dta.txt
2017-02-14 09:41:43 PM	Normal	  MSLevel info and Scan Type info successfully loaded from HCC-38_DDDT_4xdil_20uL_3hr_3_08Jan16_Pippin_15-08-53_ScanStats.txt
2017-02-14 09:41:44 PM	Normal	  Collision mode info successfully loaded from HCC-38_DDDT_4xdil_20uL_3hr_3_08Jan16_Pippin_15-08-53_ScanStatsEx.txt
2017-02-14 09:41:44 PM	Normal	Reading C:\DMS_WorkDir2\HCC-38_DDDT_4xdil_20uL_3hr_3_08Jan16_Pippin_15-08-53_dta.txt.bak
2017-02-14 09:41:44 PM	Normal	Writing C:\DMS_WorkDir2\HCC-38_DDDT_4xdil_20uL_3hr_3_08Jan16_Pippin_15-08-53_dta.txt
2017-02-14 09:41:44 PM	Normal	Current settings
2017-02-14 09:41:44 PM	Normal	 EvaluateSpectrumQualityOnly: False
2017-02-14 09:41:44 PM	Normal	 MSLevelFilter: 0
2017-02-14 09:41:44 PM	Normal	 ScanTypeFilter: ''
2017-02-14 09:41:44 PM	Normal	 MSCollisionModeFilter: 'etd' (match type Contains)
2017-02-14 09:41:44 PM	Normal	 Filter mode: Fragmentation pattern filter disabled
2017-02-14 09:41:44 PM	Normal	 Ion filtering enabled: False
2017-02-14 09:41:44 PM	Normal	Filtering Concatenated File: 0 spectra processed
2017-02-14 09:41:44 PM	Normal	Filtering Concatenated File: 1000 spectra processed
2017-02-14 09:41:44 PM	Normal	Filtering Concatenated File: 2000 spectra processed (1.0% complete)
2017-02-14 09:41:44 PM	Normal	Filtering Concatenated File: 3000 spectra processed (2.0% complete)
2017-02-14 09:41:45 PM	Normal	Filtering Concatenated File: 4000 spectra processed (2.0% complete)
2017-02-14 09:41:45 PM	Normal	Filtering Concatenated File: 5000 spectra processed (3.0% complete)
2017-02-14 09:41:45 PM	Normal	Filtering Concatenated File: 6000 spectra processed (4.0% complete)
2017-02-14 09:41:46 PM	Normal	Filtering Concatenated File: 7000 spectra processed (4.0% complete)
2017-02-14 09:41:46 PM	Normal	Filtering Concatenated File: 8000 spectra processed (5.0% complete)
2017-02-14 09:41:46 PM	Normal	Filtering Concatenated File: 9000 spectra processed (6.0% complete)
2017-02-14 09:41:47 PM	Normal	Filtering Concatenated File: 10000 spectra processed (7.0% complete)
