Unique_Seq_ID	Cleavage_State	Terminus_State	Protein_Name	Protein_Expectation_Value_Log(e)	Protein_Intensity_Log(I)
1	0	0	SO_0603		
2	0	2	SO_0406		
3	2	3	SO_3962		
4	0	2	SO_0556		
5	0	2	SO_0406		
6	0	2	SO_0223		
7	0	2	SO_2787		
8	0	2	SO_2775		
9	2	3	SO_1797		
10	0	2	SO_0335		
11	0	0	SO_0432		
12	0	2	SO_0242		
13	0	0	SO_1676		
14	0	2	SO_0406		
15	2	3	SO_0755		
16	0	2	SO_0242		
17	0	2	SO_0691		
18	0	0	SO_0933		
19	0	2	SO_2062		
20	0	2	SO_2087		
21	0	0	SO_4320		
22	0	1	SO_1797		
23	1	0	SO_4320		
24	2	3	SO_0239		
25	2	3	SO_3234		
26	0	0	SO_3637		
27	0	0	SO_0223		
28	0	2	SO_0235		
29	0	2	SO_2604		
30	2	3	SO_0721		
31	2	3	SO_3426		
32	0	2	SO_0439		
33	0	0	SO_0335		
34	2	3	SO_1797		
35	2	3	SO_0703		
36	0	2	SO_2569		
37	2	3	SO_0239		
38	0	2	SO_A0059		
39	0	2	SO_4113		
40	0	2	SO_1813		
41	0	1	SO_1797		
42	0	2	SO_2176		
43	0	2	SO_2787		
44	0	0	SO_0242		
45	2	3	SO_4791		
46	0	2	SO_0235		
47	0	2	SO_4651		
48	0	0	SO_1824		
49	0	2	SO_0249		
50	0	0	SO_0249		
51	0	2	SO_2787		
52	2	3	SO_3962		
53	0	0	SO_1824		
54	0	2	SO_0603		
55	0	2	SO_0235		
56	0	2	SO_0235		
57	0	2	SO_3888		
58	0	0	SO_0691		
59	2	3	SO_2604		
60	0	2	SO_0223		
61	0	2	SO_3765		
62	0	2	SO_2728		
63	0	2	SO_2787		
64	2	3	SO_3930		
65	0	2	SO_0406		
66	0	2	SO_3888		
67	0	0	SO_3146		
68	0	0	SO_2775		
69	0	2	SO_4747		
70	0	1	SO_4134		
71	0	2	SO_0222		
72	0	2	SO_3545		
73	2	3	SO_2775		
74	0	1	SO_2401		
75	0	0	SO_0217		
76	0	0	SO_4320		
77	2	3	SO_3962		
78	0	2	SO_2780		
79	0	1	SO_2071		
80	0	2	SO_0432		
81	0	2	SO_3765		
82	2	2	SO_3146		
83	0	2	SO_0222		
84	2	3	SO_0536		
85	2	3	SO_2401		
86	0	2	SO_4320		
87	0	2	SO_0360		
88	0	0	SO_4320		
89	0	2	SO_1372		
90	0	2	SO_2962		
91	0	2	SO_0235		
92	0	0	SO_0808		
93	0	0	SO_0608		
94	0	2	SO_2787		
95	0	0	SO_0217		
96	2	3	SO_3426		
97	0	2	SO_1824		
98	0	2	SO_2787		
99	0	2	SO_0603		
100	1	0	SO_3066		
101	0	2	SO_0235		
102	0	2	SO_1648		
103	2	2	SO_3765		
104	0	0	SO_1676		
105	0	2	SO_1479		
106	2	3	SO_3426		
107	2	3	SO_0721		
108	0	2	SO_3942		
109	0	2	SO_0223		
110	0	2	SO_2787		
111	2	3	SO_1797		
112	0	2	SO_1372		
113	0	1	SO_1797		
114	0	2	SO_2604		
115	2	3	SO_4134		
116	2	3	SO_0548		
117	0	1	SO_1797		
118	2	3	SO_0755		
119	0	2	SO_4747		
120	2	3	SO_3426		
121	0	0	SO_1832		
122	0	2	SO_4320		
123	0	0	SO_0249		
124	0	2	SO_3888		
125	2	3	SO_0703		
126	0	2	SO_1357		
127	0	2	SO_3765		
128	0	2	SO_1479		
129	2	3	SO_1648		
130	2	3	SO_3962		
131	0	2	SO_1479		
132	0	2	SO_0222		
133	0	2	SO_0223		
134	2	3	SO_2787		
135	0	2	SO_2087		
136	2	2	SO_3066		
137	0	2	SO_3325		
138	0	2	SO_4320		
139	0	2	SO_3146		
140	2	3	SO_2787		
141	1	0	SO_4320		
142	2	3	SO_2604		
143	2	1	SO_0691		
144	2	3	SO_2787		
145	0	2	SO_2604		
146	0	2	SO_4320		
147	0	2	SO_1327		
148	0	0	SO_2112		
149	2	3	SO_2780		
150	0	0	SO_0704		
151	0	2	SO_2087		
152	0	2	SO_2087		
153	0	2	SO_0250		
154	0	2	SO_0360		
155	0	2	SO_2087		
156	0	0	SO_1204		
157	2	1	SO_1797		
158	0	2	SO_1813		
159	0	0	SO_2071		
160	0	2	SO_4719		
161	0	0	SO_0242		
162	2	3	SO_2780		
163	0	2	SO_2062		
164	0	0	SO_0241		
165	0	2	SO_2062		
166	0	2	SO_2780		
167	0	0	SO_4047		
168	0	2	SO_2271		
169	2	3	SO_2277		
170	0	2	SO_2839		
171	0	2	SO_0242		
172	2	3	SO_3962		
173	0	1	SO_0691		
174	0	2	SO_4749		
175	0	2	SO_4747		
176	0	2	SO_1813		
177	0	2	SO_3837		
178	0	2	SO_2787		
179	0	0	SO_0335		
180	0	2	SO_0430		
181	2	3	SO_0886		
182	1	0	SO_0242		
183	0	0	SO_0242		
75	0	0	SO_0229		
184	0	0	SO_4320		
185	0	0	SO_4134		
186	0	2	SO_0223		
187	2	3	SO_3426		
188	0	2	SO_4247		
189	0	2	SO_3962		
190	2	3	SO_A0059		
191	0	0	SO_0247		
192	0	1	SO_1797		
193	0	0	SO_2775		
194	0	2	SO_1490		
195	2	3	SO_2714		
196	0	0	SO_0217		
197	0	0	SO_0217		
198	0	0	SO_0335		
199	0	0	SO_0223		
200	0	0	SO_0217		
201	0	0	SO_0603		
202	0	0	SO_2112		
203	2	3	SO_1063		
204	2	3	SO_0703		
205	0	2	SO_0360		
206	0	2	SO_2569		
207	0	0	SO_0375		
208	0	2	SO_0406		
209	0	0	SO_1300		
210	2	3	SO_4134		
