Unique_Seq_ID	Cleavage_State	Terminus_State	Protein_Name	Protein_Expectation_Value_Log(e)	Protein_Intensity_Log(I)
1	2	0	SO_2427	-410.4	7.91
2	2	0	SO_2427	-410.4	7.91
3	2	0	SO_2427	-410.4	7.91
4	2	0	SO_2427	-410.4	7.91
5	1	0	SO_2427	-410.4	7.91
6	2	0	SO_2427	-410.4	7.91
7	2	0	SO_2427	-410.4	7.91
8	2	0	SO_2427	-410.4	7.91
9	2	0	SO_2427	-410.4	7.91
10	2	0	SO_2427	-410.4	7.91
11	2	0	SO_2427	-410.4	7.91
12	2	0	SO_2427	-410.4	7.91
13	2	0	SO_2427	-410.4	7.91
14	2	0	SO_2427	-410.4	7.91
15	1	0	SO_2427	-410.4	7.91
16	1	0	SO_2427	-410.4	7.91
17	1	0	SO_2427	-410.4	7.91
18	2	0	SO_2427	-410.4	7.91
19	2	0	SO_2427	-410.4	7.91
20	2	0	SO_2427	-410.4	7.91
21	2	0	SO_2427	-410.4	7.91
22	2	0	SO_2427	-410.4	7.91
23	2	0	SO_2427	-410.4	7.91
24	2	0	SO_2427	-410.4	7.91
25	1	0	SO_2427	-410.4	7.91
26	2	0	SO_2427	-410.4	7.91
27	2	0	SO_2427	-410.4	7.91
28	2	0	SO_2427	-410.4	7.91
29	2	0	SO_2427	-410.4	7.91
30	2	0	SO_2427	-410.4	7.91
31	2	0	SO_2427	-410.4	7.91
32	2	0	SO_2427	-410.4	7.91
33	1	0	SO_2427	-410.4	7.91
34	1	0	SO_2427	-410.4	7.91
35	1	0	SO_2427	-410.4	7.91
36	2	0	SO_2427	-410.4	7.91
37	1	0	SO_2427	-410.4	7.91
38	2	0	SO_2427	-410.4	7.91
39	2	0	SO_2427	-410.4	7.91
40	1	0	SO_2427	-410.4	7.91
41	2	0	SO_2427	-410.4	7.91
42	1	0	SO_2427	-410.4	7.91
43	1	0	SO_2427	-410.4	7.91
44	2	0	SO_2427	-410.4	7.91
45	2	0	SO_2427	-410.4	7.91
46	2	0	SO_2427	-410.4	7.91
47	2	0	SO_2427	-410.4	7.91
48	2	0	SO_2427	-410.4	7.91
49	2	0	SO_2427	-410.4	7.91
50	2	0	SO_2427	-410.4	7.91
51	1	0	SO_2427	-410.4	7.91
52	2	0	SO_2427	-410.4	7.91
53	1	0	SO_2427	-410.4	7.91
54	2	0	SO_0224	-407.2	8.01
55	2	0	SO_0224	-407.2	8.01
56	2	0	SO_0224	-407.2	8.01
57	2	0	SO_0224	-407.2	8.01
58	2	0	SO_0224	-407.2	8.01
59	2	0	SO_0224	-407.2	8.01
60	2	0	SO_0224	-407.2	8.01
61	1	0	SO_0224	-407.2	8.01
62	2	0	SO_0224	-407.2	8.01
63	2	0	SO_0224	-407.2	8.01
64	2	0	SO_0224	-407.2	8.01
65	1	0	SO_0224	-407.2	8.01
66	2	0	SO_0224	-407.2	8.01
67	2	0	SO_0224	-407.2	8.01
68	2	0	SO_0224	-407.2	8.01
69	1	0	SO_0224	-407.2	8.01
70	2	0	SO_0224	-407.2	8.01
71	2	0	SO_0224	-407.2	8.01
72	2	0	SO_0224	-407.2	8.01
73	1	0	SO_0224	-407.2	8.01
74	2	0	SO_0224	-407.2	8.01
75	2	0	SO_0224	-407.2	8.01
76	2	0	SO_0224	-407.2	8.01
77	2	0	SO_0224	-407.2	8.01
78	2	0	SO_0224	-407.2	8.01
79	2	0	SO_0224	-407.2	8.01
80	2	0	SO_0224	-407.2	8.01
81	2	0	SO_0224	-407.2	8.01
82	2	0	SO_0224	-407.2	8.01
83	2	0	SO_0224	-407.2	8.01
84	2	0	SO_0224	-407.2	8.01
85	2	0	SO_0224	-407.2	8.01
86	2	0	SO_0224	-407.2	8.01
87	2	0	SO_0224	-407.2	8.01
88	1	0	SO_0224	-407.2	8.01
89	2	0	SO_0224	-407.2	8.01
90	2	0	SO_0224	-407.2	8.01
91	2	0	SO_0224	-407.2	8.01
92	2	0	SO_0224	-407.2	8.01
93	2	0	SO_0224	-407.2	8.01
94	2	0	SO_0224	-407.2	8.01
95	1	0	SO_0224	-407.2	8.01
96	2	0	SO_0224	-407.2	8.01
97	2	0	SO_0224	-407.2	8.01
98	2	0	SO_0224	-407.2	8.01
99	2	0	SO_0224	-407.2	8.01
100	2	0	SO_0224	-407.2	8.01
101	1	0	SO_0224	-407.2	8.01
102	2	0	SO_0224	-407.2	8.01
103	2	0	SO_0224	-407.2	8.01
104	2	0	SO_0224	-407.2	8.01
