Unique_Seq_ID	Mod_Count	Mod_Description	Monoisotopic_Mass
1	0		5181.5020653
2	1	-44765.5:7	4900.3396191
3	1	-1.02000:1	4850.3281476
4	0		4851.3481476
5	0		8970.3413100
6	1	+16.3100:1	4217.3425248
7	1	-0.99000:1	6241.1877083
8	1	One_O18:12	6602.3629247
9	2	-53.0400:1,+296.130:15	7575.7468386
10	2	-13355.2:12,-64.0000:204	7576.7464361
11	1	+1.02000:20	6672.4200348
12	1	+7.01000:42	6929.5033202
13	1	+1.03000:24	6930.5264413
14	1	-0.99000:26	6928.5064413
15	0		6929.4964413
16	1	-59.0100:38	6929.4940561
17	2	-7969.14:12,+3.08000:112	6976.4340049
18	1	One_O18:16	6931.4964413
19	0		6815.4535197
20	2	+4826.58:11,-6527.30:33	7561.7516763
21	0		7560.7678348
22	2	-8215.83:19,+26.0300:153	7559.8781115
23	1	-1864.96:12	7561.8276515
24	2	-20922.7:4,+38.0100:257	7576.7692702
25	0		7200.6397382
26	2	-8341.35:6,-54.9800:130	7201.6013034
27	1	+16.0000:1	7216.6397382
28	1	-33.0400:1	7216.6531547
29	1	+7.91000:57	7215.6519452
30	0		5548.7781424
31	1	-13.8800:1	9514.8169632
32	1	+40.1300:1	9515.8093391
33	2	-10938.3:23,-36.9300:174	9512.8815286
34	1	-12.8800:1	9515.8169632
35	1	-70.8500:1	9515.7858818
36	1	-1.02000:35	9586.6055767
37	1	AmOxButa:1	9585.6055767
38	2	+31.4000:1,+12.6400:10	9514.8287110
39	2	+38.3900:1,-69.6400:44	4742.6998529
40	1	One_O18:17	7117.5757474
41	0		9674.6576008
42	1	-30.0400:1	10171.0151051
43	1	-18.0400:1	6797.4135197
44	2	+157.070:8,-52.0100:41	5087.4560227
45	1	Dehydro:1	10171.9277727
46	1	-56.7300:1	5274.8513715
47	1	-26.4500:1	3243.3647668
48	0		3896.9684016
49	1	-1708.78:59	9670.0181951
50	1	-1.97000:1	7299.7061803
51	1	+68.1600:72	9671.8943280
52	1	-53.0000:1	9672.0357198
53	2	-8410.29:28,+34.1800:164	9672.9218650
54	1	+12.9900:1	9670.9318813
