Unique_Seq_ID	Mod_Count	Mod_Description	Monoisotopic_Mass
1	1	Plus1Oxy:15	2358.15245
2	0		1246.66692
3	0		1217.64038
4	1	Plus1Oxy:6	1235.69472
5	0		1782.91513
6	0		1312.70264
7	0		1732.91474
8	0		1511.86706
9	1	Plus1Oxy:5	1275.66448
10	0		1413.78267
11	2	Plus1Oxy:5,Plus1Oxy:8	1202.55355
12	0		1645.86745
13	1	Plus1Oxy:3	1230.67538
14	0		1438.78194
15	0		1364.70476
16	0		1119.59237
17	1	Plus1Oxy:15	1832.95527
18	0		994.58108
19	0		1375.80743
20	0		1015.54503
21	0		1291.652
22	1	Plus1Oxy:3	1495.75916
23	0		1465.71605
24	1	Plus1Oxy:5	1325.69003
25	0		1145.62914
26	0		1480.84012
27	1	Plus1Oxy:17	2288.14697
28	0		2430.27667
29	0		1233.69683
30	1	Plus1Oxy:1	907.49491
31	0		1315.73466
32	0		1058.55084
33	0		944.50792
34	0		1354.68402
35	0		1044.60796
36	0		1076.54028
37	0		1339.7962
38	0		1541.87763
39	1	Plus1Oxy:1	1391.7482
40	0		955.5239
41	1	Plus1Oxy:1	1545.85478
42	0		1184.71281
43	0		1114.65972
44	0		930.56504
45	0		1291.71354
46	0		1128.61383
47	0		1523.90345
48	0		1439.8347
49	1	Plus1Oxy:5	1241.68013
50	0		1418.74047
51	0		972.5855
52	0		2071.06971
53	0		1167.58834
54	0		1579.75897
55	0		1378.74959
56	1	Plus1Oxy:10	1551.78537
57	0		1211.69855
58	0		1727.86304
59	0		1113.5818
60	0		1142.60835
61	0		1212.63898
62	0		1612.89361
63	1	Plus1Oxy:2	1291.68052
64	0		1028.62294
65	0		1221.63529
66	0		920.55553
67	2	Plus1Oxy:3,Plus1Oxy:6	1878.78756
68	0		1258.63456
69	0		1167.61483
70	0		993.49193
71	0		1678.89025
72	0		1231.69241
73	1	Plus1Oxy:8	1223.58154
74	0		950.59125
75	0		1152.56621
76	0		1391.77719
77	0		1604.85616
78	0		1627.77423
79	0		1517.92927
80	0		1547.83068
81	0		1059.55598
82	0		982.5348
83	0		1433.71901
84	0		1268.74517
85	0		1282.76082
86	0		1430.78809
87	0		1479.77211
88	2	Plus1Oxy:5,Plus1Oxy:8	1506.68059
89	0		1219.63087
90	0		1267.63087
91	0		1343.75607
92	0		1063.55626
93	1	Plus1Oxy:10	1176.60597
94	0		1160.63417
95	0		977.56576
96	0		1233.62808
97	0		1324.74623
98	1	Plus1Oxy:2	960.54259
99	0		1131.5196
100	0		835.50277
101	0		922.5348
102	1	Plus1Oxy:2	1318.59752
103	0		1452.78367
104	1	Plus1Oxy:8	1427.67141
105	0		2464.28483
106	0		1480.79971
107	0		1554.84454
108	0		910.50244
109	0		910.41441
110	0		1223.61858
111	0		1152.58868
112	0		1549.75646
113	0		1744.9035
114	0		1603.85689
115	0		1336.61864
116	3	Plus1Oxy:2,Plus1Oxy:8,Plus1Oxy:12	2099.99404
117	0		869.42425
118	0		922.55995
119	0		841.48098
120	0		1553.74332
121	0		1464.8048
122	1	Plus1Oxy:2	1292.6798
123	1	Plus1Oxy:6	1199.66957
124	0		1291.65602
125	0		1376.62209
126	0		1903.89109
127	0		950.5661
128	0		1040.59779
129	0		804.41296
130	1	Plus1Oxy:12	1575.80381
131	0		1064.55017
132	0		1154.57197
133	0		1271.66217
134	0		1642.92933
135	1	Plus1Oxy:6	889.53063
136	0		1300.62987
137	0		949.54839
138	0		849.44968
139	0		1713.9049
140	0		1138.57705
141	0		1684.8532
142	0		1065.59304
143	0		1432.79251
144	0		849.51842
145	0		1236.64619
146	0		1444.73097
147	0		1136.53894
148	0		1095.6036
149	0		901.45449
150	0		1078.50428
151	0		974.44571
152	0		2158.12689
153	1	Plus1Oxy:2	1603.84903
154	0		912.5756
155	0		821.48713
156	1	Plus1Oxy:12	1461.74966
157	0		884.41402
158	0		945.48204
159	0		952.59567
160	0		947.54397
161	0		1486.69392
162	0		826.42247
163	0		948.61199
164	0		978.48824
165	0		892.48065
166	0		927.45622
167	0		1195.59131
168	0		1155.6036
169	0		1218.70839
170	0		836.43918
171	1	Plus1Oxy:9	1251.65325
172	0		1103.49953
