Unique_Seq_ID	Mod_Count	Mod_Description	Monoisotopic_Mass
1	1	Phosph:2	2449.04807
2	2	Phosph:1,IodoAcet:9	2278.90081
3	2	Phosph:3,IodoAcet:9	2278.90081
4	1	Phosph:4	1989.74894
5	1	Phosph:1	1989.74894
6	1	Phosph:2	1989.74894
7	1	Phosph:8	2297.06879
8	1	Phosph:17	3804.67904
9	1	Phosph:18	3804.67904
10	1	Phosph:1	2684.25943
11	1	Phosph:2	2684.25943
12	1	Phosph:17	1982.97133
13	1	Phosph:5	2501.09176
14	1	Phosph:4	2501.09176
15	0		1693.69274
16	1	Phosph:6	3100.4461
17	1	Phosph:13	2994.26139
18	1	Phosph:15	2994.26139
19	1	Phosph:1	3100.4461
20	2	Phosph:3,IodoAcet:8	2367.02753
21	2	Phosph:1,IodoAcet:8	2367.02753
22	2	Phosph:2,IodoAcet:8	2367.02753
23	1	Phosph:3	1861.7519
24	1	Phosph:4	1861.7519
25	1	Phosph:9	1721.79846
26	1	Phosph:4	1659.7253
27	1	Phosph:4	2145.87385
28	1	Phosph:5	2145.87385
29	1	Phosph:3	2512.02508
30	1	Phosph:3	2275.03414
31	1	Phosph:3	2107.96083
32	1	Phosph:1	2512.02508
33	1	Phosph:2	2512.02508
34	1	Phosph:1	2580.11283
35	1	Phosph:10	1930.89375
36	1	Phosph:3	2074.94321
37	1	Phosph:14	1890.84067
38	3	Phosph:3,IodoAcet:10,IodoAcet:24	2859.24147
39	1	Phosph:1	1963.88872
40	1	Phosph:5	1842.78835
41	1	Phosph:3	1855.82131
42	1	Phosph:3	2580.11283
43	3	Phosph:4,IodoAcet:10,IodoAcet:24	2859.24147
44	3	Phosph:5,IodoAcet:10,IodoAcet:24	2859.24147
45	1	Phosph:3	1963.88872
46	1	Phosph:7	2449.04807
47	1	Phosph:4	1820.76761
48	1	Phosph:8	1597.7348
49	3	Phosph:3,Phosph:14,IodoAcet:16	2211.92717
50	1	Phosph:3	1820.76761
51	1	Phosph:1	2044.8738
52	1	Phosph:3	2044.8738
53	2	IodoAcet:3,Phosph:5	1993.90668
54	1	Phosph:2	2233.89797
55	1	Phosph:3	1991.9061
56	1	Phosph:2	2568.11283
57	1	Phosph:3	2568.11283
58	1	Phosph:4	2568.11283
59	2	IodoAcet:7,IodoAcet:11	1832.91237
60	1	Phosph:5	2074.94321
61	1	Phosph:1	2107.96083
62	1	Phosph:10	1699.72021
63	1	Phosph:15	3224.49852
64	1	Phosph:2	1605.73989
65	1	Phosph:3	1791.90186
66	1	Phosph:14	1635.73922
