Unique_Seq_ID	Cleavage_State	Terminus_State	Protein_Name	Protein_Expectation_Value_Log(e)	Protein_Intensity_Log(I)
1	2	0	TOM70_HUMAN		
2	2	0	BAG3_HUMAN		
3	2	0	BAG3_HUMAN		
4	2	0	ROA3_HUMAN		
5	2	0	ROA3_HUMAN		
6	2	0	ROA3_HUMAN		
7	2	0	PSMD2_HUMAN		
8	2	0	K2C8_HUMAN		
9	2	0	K2C8_HUMAN		
10	2	0	TTL12_HUMAN		
11	2	0	TTL12_HUMAN		
12	1	0	H14_HUMAN		
13	2	0	KI21A_HUMAN		
14	2	0	KI21A_HUMAN		
15	2	0	ROA1_HUMAN		
16	2	0	GTF2I_HUMAN		
17	2	0	MARCS_HUMAN		
18	2	0	MARCS_HUMAN		
19	2	0	GTF2I_HUMAN		
20	2	0	GSK3B_HUMAN		
21	2	0	GSK3B_HUMAN		
22	2	0	GSK3B_HUMAN		
23	2	0	PLEC_HUMAN		
24	2	0	PLEC_HUMAN		
25	2	0	AHNK_HUMAN		
26	1	0	K1C18_HUMAN		
27	2	0	RPRD2_HUMAN		
28	2	0	RPRD2_HUMAN		
29	2	0	GSK3A_HUMAN		
30	2	0	FKB15_HUMAN		
31	2	0	RAF1_HUMAN		
32	2	0	GSK3A_HUMAN		
33	2	0	GSK3A_HUMAN		
34	2	0	SET1A_HUMAN		
35	2	0	TPR_HUMAN		
36	2	0	F117B_HUMAN		
37	2	0	SLTM_HUMAN		
38	2	0	HELZ_HUMAN		
39	2	0	G3BP1_HUMAN		
40	2	0	TLE3_HUMAN		
41	2	0	CING_HUMAN		
42	2	0	SET1A_HUMAN		
43	2	0	HELZ_HUMAN		
44	2	0	HELZ_HUMAN		
45	2	0	G3BP1_HUMAN		
46	2	0	TOM70_HUMAN		
47	2	0	TLE1_HUMAN		
48	2	0	AHNK_HUMAN		
49	2	0	SRRM2_HUMAN		
50	2	0	TLE1_HUMAN		
51	2	0	RMD3_HUMAN		
52	2	0	RMD3_HUMAN		
53	2	0	KI67_HUMAN		
54	2	0	ZFAN5_HUMAN		
55	2	0	AFF4_HUMAN		
56	2	0	KIF23_HUMAN		
57	2	0	KIF23_HUMAN		
58	2	0	KIF23_HUMAN		
59	2	0	G3P_HUMAN		
60	2	0	F117B_HUMAN		
61	2	0	RAF1_HUMAN		
62	2	0	AFF4_HUMAN		
63	2	0	FOXA1_HUMAN		
64	2	0	PELP1_HUMAN		
65	2	0	LARP1_HUMAN		
66	2	0	HEAT6_HUMAN		
67	2	0	MRCKB_HUMAN		
68	2	0	CTNB1_HUMAN		
69	1	0	K1C18_HUMAN		
70	1	0	H15_HUMAN		
71	2	0	K1C19_HUMAN		
72	2	0	PLEC_HUMAN		
73	2	0	H32_HUMAN		
74	2	0	MYEF2_HUMAN		
75	2	0	COPB2_HUMAN		
76	2	0	AFF4_HUMAN		
77	2	0	FARP2_HUMAN		
78	2	0	FKB15_HUMAN		
79	2	0	TP53B_HUMAN		
80	2	0	TP53B_HUMAN		
81	2	0	TLE3_HUMAN		
82	2	0	PLEC_HUMAN		
83	2	0	PLEC_HUMAN		
84	2	0	ATX2L_HUMAN		
85	2	0	PP6R2_HUMAN		
86	2	0	HID1_HUMAN		
87	2	0	PDS5B_HUMAN		
88	1	0	K1C18_HUMAN		
89	2	0	SRP72_HUMAN		
90	2	0	SRP72_HUMAN		
91	2	0	ADDA_HUMAN		
92	2	0	BAG6_HUMAN		
93	2	0	DPOLA_HUMAN		
94	2	0	K1522_HUMAN		
95	2	0	AHNK_HUMAN		
96	2	0	K1C19_HUMAN		
97	2	0	HUWE1_HUMAN		
98	2	0	LIMA1_HUMAN		
99	2	0	WDR20_HUMAN		
100	2	0	HUWE1_HUMAN		
101	2	0	DNLI3_HUMAN		
102	2	0	SRRM2_HUMAN		
103	2	0	RPB1_HUMAN		
104	2	0	RD23B_HUMAN		
105	2	0	HEAT6_HUMAN		
106	2	0	K1C19_HUMAN		
107	2	0	ARI1A_HUMAN		
108	2	0	CING_HUMAN		
109	2	0	ZN609_HUMAN		
110	2	0	SMAG2_HUMAN		
111	2	0	SMAG2_HUMAN		
112	2	0	K1C19_HUMAN		
113	2	0	MRGBP_HUMAN		
114	2	0	DREB_HUMAN		
115	2	0	DREB_HUMAN		
116	2	0	DREB_HUMAN		
117	2	0	FOXA1_HUMAN		
118	2	0	HIRP3_HUMAN		
119	2	0	RBM39_HUMAN		
120	2	0	HEXI2_HUMAN		
121	2	0	I2BPL_HUMAN		
122	2	0	LAP2A_HUMAN		
122	2	0	LAP2B_HUMAN		
123	2	0	WDR20_HUMAN		
124	2	0	RPB1_HUMAN		
125	2	0	PP6R2_HUMAN		
126	2	0	CHIP_HUMAN		
127	2	0	TOP2B_HUMAN		
128	2	0	CLIP1_HUMAN		
129	2	0	RBM25_HUMAN		
130	2	0	NIPA_HUMAN		
131	2	0	NIPA_HUMAN		
132	2	0	HID1_HUMAN		
133	2	0	CTNB1_HUMAN		
134	2	0	TBC9B_HUMAN		
135	2	0	ZN609_HUMAN		
136	2	0	AHNK_HUMAN		
137	2	0	LAP2A_HUMAN		
137	2	0	LAP2B_HUMAN		
138	2	0	LAP2A_HUMAN		
138	2	0	LAP2B_HUMAN		
139	2	0	ERCC5_HUMAN		
140	2	0	K1C19_HUMAN		
141	2	0	TRI25_HUMAN		
142	2	0	AHNK_HUMAN		
143	2	0	POP1_HUMAN		
144	2	0	BCKD_HUMAN		
145	2	0	ZFAN5_HUMAN		
146	2	0	ADDA_HUMAN		
147	2	0	SRC8_HUMAN		
148	2	0	AHNK_HUMAN		
149	2	0	PLEC_HUMAN		
150	2	0	CENPB_HUMAN		
151	2	0	CASC3_HUMAN		
152	2	0	NU214_HUMAN		
153	2	0	PDS5B_HUMAN		
154	2	0	BCKD_HUMAN		
155	2	0	CLAP1_HUMAN		
156	2	0	IRS1_HUMAN		
157	2	0	EPIPL_HUMAN		
158	2	0	MEPCE_HUMAN		
159	2	0	NDRG3_HUMAN		
160	2	0	ACTB_HUMAN		
160	2	0	ACTG_HUMAN		
161	2	0	SYEP_HUMAN		
162	2	0	SSBP4_HUMAN		
163	2	0	SSBP4_HUMAN		
164	2	0	CHAP1_HUMAN		
165	2	0	IMA1_HUMAN		
166	2	0	COPB2_HUMAN		
167	2	0	DNLI3_HUMAN		
168	2	0	DESP_HUMAN		
169	2	0	NDRG3_HUMAN		
170	2	0	STML2_HUMAN		
171	2	0	MTG16_HUMAN		
172	2	0	ATAD2_HUMAN		
173	2	0	MTG16_HUMAN		
174	2	0	NCOA3_HUMAN		
175	2	0	RIC1_HUMAN		
176	2	0	KI67_HUMAN		
177	2	0	UBP8_HUMAN		
178	2	0	UBP8_HUMAN		
179	2	0	UBP8_HUMAN		
180	2	0	SRRM2_HUMAN		
181	2	0	SSBP3_HUMAN		
182	2	0	SNX16_HUMAN		
183	2	0	SNX16_HUMAN		
184	2	0	MTMR3_HUMAN		
185	2	0	MTMR3_HUMAN		
186	2	0	GFPT1_HUMAN		
187	2	0	RD23B_HUMAN		
188	2	0	RD23B_HUMAN		
189	2	0	RPB1_HUMAN		
190	2	0	I2BP1_HUMAN		
191	2	0	NDRG2_HUMAN		
192	2	0	NUP50_HUMAN		
193	2	0	PGRC1_HUMAN		
194	2	0	PGRC1_HUMAN		
195	2	0	SC16A_HUMAN		
196	2	0	SC16A_HUMAN		
197	2	0	PLEC_HUMAN		
198	2	0	SC31A_HUMAN		
199	1	0	K1C18_HUMAN		
200	2	0	LSM12_HUMAN		
201	2	0	GOGA4_HUMAN		
202	2	0	HEXI2_HUMAN		
203	2	0	SYEP_HUMAN		
204	2	0	ITPR3_HUMAN		
205	2	0	PTPRK_HUMAN		
206	2	0	RAI1_HUMAN		
207	2	0	ABLM1_HUMAN		
208	2	0	IRS1_HUMAN		
209	2	0	MAP4_HUMAN		
210	2	0	TPIS_HUMAN		
211	2	0	KMT2A_HUMAN		
212	2	0	HS90A_HUMAN		
213	2	0	CNOT4_HUMAN		
