Unique_Seq_ID	Mod_Count	Mod_Description	Monoisotopic_Mass
1	1	Phosph:5	1693.75727
2	2	Phosph:3,Phosph:9	1801.76479
3	1	Phosph:3	1490.79312
4	0		1375.66526
5	0		1649.90998
6	0		1266.64552
7	1	Phosph:6	1382.56021
8	1	Phosph:1	1791.81786
9	1	Phosph:7	988.46302
10	1	Phosph:2	1579.72827
11	1	Phosph:8	1597.7348
12	1	Phosph:6	1573.59329
13	2	Phosph:10,Phosph:12	1825.78725
14	1	Phosph:10	1745.82092
15	2	Phosph:12,Phosph:15	1981.88835
16	2	Phosph:5,Phosph:16	2351.07112
17	3	Phosph:3,Phosph:14,IodoAcet:16	2211.92717
18	1	Phosph:6	1145.48276
19	2	MinusH2O:1,Phosph:3	2836.22997
20	1	Phosph:10	1713.80863
21	1	Phosph:11	1994.91316
22	3	Phosph:5,Phosph:6,Phosph:9	1733.5947
23	3	Phosph:4,Phosph:9,Phosph:11	1474.47789
24	1	Phosph:5	1243.51935
25	1	Phosph:6	1376.68126
26	1	Phosph:4	1190.58083
27	2	Phosph:9,Phosph:11	1429.57516
28	1	Phosph:4	1128.5692
29	1	Phosph:14	1763.85664
30	4	MinusH2O:1,Phosph:4,Phosph:6,Phosph:11	1894.45911
31	3	Phosph:5,Phosph:12,Phosph:14	2465.8145
32	2	Phosph:18,Phosph:19	2769.07894
33	4	NH3_Loss:1,Phosph:4,Phosph:11,Phosph:13	1923.44927
34	3	Phosph:1,Phosph:2,Phosph:6	1310.25132
35	1	Phosph:11	1594.72391
36	1	Phosph:13	2200.02593
37	1	Phosph:16	2071.93097
38	0		1348.72713
39	0		1348.72713
40	1	Phosph:7	2228.93209
41	1	Phosph:5	1629.6294
42	1	Phosph:5	1943.7884
43	1	Phosph:6	1944.78365
44	1	Phosph:6	2072.87861
45	2	MinusH2O:1,Phosph:6	1409.63398
46	1	Phosph:12	1452.6133
47	1	Phosph:11	1930.85334
48	1	Phosph:4	1363.74168
49	1	Phosph:3	1235.64673
50	1	Phosph:2	1107.55177
51	1	Phosph:4	873.41093
52	1	Phosph:4	1278.51287
53	3	MinusH2O:1,Phosph:13,Phosph:25	3122.19133
54	1	Phosph:9	2207.87425
55	2	Phosph:2,Phosph:13	2549.00692
56	2	Phosph:2,Phosph:11	2549.00692
57	2	Phosph:2,Phosph:10	2887.23869
58	1	Phosph:5	1745.67807
59	1	Phosph:4	1617.58312
60	2	MinusH2O:1,Phosph:3	2674.1619
61	1	Phosph:9	2112.86362
62	0		1597.80994
63	1	Phosph:7	2017.88536
64	1	Phosph:7	1232.51862
65	1	Phosph:7	1360.61358
66	1	Phosph:2	1503.63543
67	0		1713.91479
68	0		1106.6335
69	1	Phosph:10	1436.71362
70	1	Phosph:10	1735.80288
71	1	Phosph:13	1920.82271
72	1	Phosph:8	1651.80104
73	1	Phosph:7	1541.76023
74	2	NH3_Loss:1,Phosph:3	1212.57641
75	1	Phosph:10	1602.66745
76	1	Phosph:5	2175.0612
77	2	Phosph:3,Phosph:13	2267.81034
78	1	Phosph:11	2187.84401
79	2	Phosph:3,Phosph:13	2621.05301
80	1	Phosph:9	2284.93315
81	1	Phosph:11	1635.76168
82	1	Phosph:10	1507.66673
83	3	Phosph:4,Phosph:13,Phosph:14	2227.96211
84	2	Phosph:9,Phosph:11	1389.56181
85	1	Phosph:5	1432.68635
86	2	Phosph:10,Phosph:13	1868.90222
87	1	Phosph:11	1353.62169
88	3	NH3_Loss:1,Phosph:15,Phosph:18	2896.27944
89	2	Phosph:2,IodoAcet:9	1289.45696
90	1	Phosph:6	966.51505
91	0		1564.75949
92	3	Phosph:1,Phosph:2,Phosph:20	3106.25508
93	2	Phosph:8,Phosph:9	1744.71097
94	1	Phosph:13	1779.86547
95	1	Phosph:10	1679.81305
96	3	MinusH2O:1,Phosph:11,Phosph:14	1897.78994
97	3	Phosph:1,Phosph:2,Phosph:10	1612.50237
98	3	Phosph:1,Phosph:2,Phosph:6	1456.63802
99	3	Phosph:2,Phosph:9,Phosph:13	1525.62309
100	4	MinusH2O:1,IodoAcet:6,Phosph:8,Phosph:12	2601.97933
101	3	Phosph:4,Phosph:8,Phosph:9	1890.68384
102	3	Phosph:11,Phosph:13,Phosph:14	1703.53652
103	2	Phosph:14,Phosph:16	2169.9689
104	3	Phosph:18,Phosph:19,IodoAcet:20	2735.159
105	1	Phosph:8	1830.76855
106	1	Phosph:2	1191.4961
107	1	Phosph:18	2164.94254
108	1	Phosph:3	1155.45972
109	2	NH3_Loss:1,Phosph:3	2635.19008
110	1	Phosph:3	1783.80625
111	1	Phosph:3	2772.24112
112	1	Phosph:8	1095.4961
113	1	Phosph:3	1844.98725
114	1	Phosph:7	3281.50875
115	1	Phosph:4	1219.47576
116	0		1202.62545
117	1	Phosph:10	1456.62818
118	1	Phosph:6	1692.83479
119	1	Phosph:12	2165.00408
120	2	IodoAcet:7,Phosph:10	2349.98956
121	4	Phosph:4,Phosph:6,Phosph:7,IodoAcet:8	1407.33394
122	3	Phosph:3,Phosph:4,Phosph:6	1938.65869
123	1	Phosph:14	2481.08081
124	1	Phosph:1	2110.82685
125	1	Phosph:6	1997.93192
126	1	Phosph:8	1654.79265
127	1	Phosph:12	1638.73236
128	1	Phosph:8	2118.97211
129	1	Phosph:5	1790.76107
130	2	Acetyl:1,Phosph:5	1635.75046
131	1	Phosph:3	1506.70786
132	1	Phosph:3	1378.61291
133	2	Phosph:1,Phosph:4	2804.97649
134	0		1627.77423
135	2	Phosph:3,Phosph:7	1333.59847
136	1	Phosph:5	1226.57362
137	1	Phosph:5	1354.66858
138	1	Phosph:5	992.47319
139	0		1744.74991
140	2	Phosph:2,Phosph:13	1873.79715
141	0		935.50758
142	3	Phosph:1,Phosph:2,Phosph:4	2388.96401
143	1	Phosph:5	1543.68919
144	3	IodoAcet:2,Phosph:5,Phosph:9	1941.74407
145	2	Phosph:1,Phosph:9	1388.59892
146	1	Phosph:9	1836.89817
147	1	Phosph:3	2133.04661
148	3	MinusH2O:1,Phosph:25,Phosph:28	3277.34883
149	1	Phosph:1	1244.56624
150	1	Phosph:3	1851.83763
151	1	Phosph:1	1695.73653
152	1	Phosph:4	1665.80863
153	1	Phosph:3	1509.70753
154	0		1241.58221
155	0		2120.13237
156	0		1723.81245
157	1	Phosph:7	2381.98591
158	1	Phosph:7	2084.85345
159	1	Phosph:6	2253.89095
160	1	Phosph:6	1314.46123
161	3	Phosph:2,Phosph:11,Phosph:13	2003.63225
162	1	Phosph:3	1291.53797
163	1	Phosph:3	1419.63293
164	1	Phosph:15	2321.90325
165	3	IodoAcet:1,NH3_Loss:1,Phosph:3	1423.50746
166	1	Phosph:5	1819.89025
167	1	Phosph:1	1404.64719
168	1	Phosph:4	1360.5336
169	1	Phosph:14	1890.84067
170	1	Phosph:3	2230.9702
171	1	Phosph:4	1619.69737
172	0		1268.59177
173	1	Phosph:3	2217.0731
174	1	Phosph:5	1961.99346
175	1	Phosph:3	1692.8083
176	1	Phosph:7	1288.55473
177	3	NH3_Loss:1,Phosph:23,Phosph:25	3168.29204
178	1	Phosph:10	1566.76538
179	1	Phosph:10	1722.86648
180	1	Phosph:9	1438.67042
181	1	Phosph:7	2129.86368
182	1	Phosph:5	1472.55551
183	1	Phosph:5	1844.71999
184	1	Phosph:13	2399.97401
185	0		1167.56319
186	1	Phosph:4	1343.72134
187	1	Phosph:3	1741.85116
188	1	Phosph:4	1247.60229
189	1	Phosph:16	2050.82282
190	1	Phosph:13	2050.82282
191	1	IodoAcet:7	1166.56411
192	1	IodoAcet:7	1166.56411
193	1	Phosph:11	1520.69836
194	1	Phosph:6	1584.74089
195	1	Phosph:3	1537.68939
196	1	Phosph:1	1656.71038
197	1	Phosph:11	1656.71038
198	1	Phosph:4	1860.83663
199	1	Phosph:14	1976.98592
200	2	Phosph:5,Phosph:7	1231.54749
201	1	Phosph:3	1300.62884
202	1	Phosph:7	1613.71849
203	2	Phosph:8,Phosph:14	2541.96051
204	1	Phosph:4	1743.98989
205	1	Phosph:2	1545.88945
206	2	IodoAcet:5,Phosph:11	1693.70919
207	1	Phosph:13	1848.83663
208	1	Phosph:16	1848.83663
209	1	Phosph:16	2317.11747
210	1	Phosph:7	949.39058
211	1	Phosph:3	845.34324
212	0		1307.64691
213	1	NH3_Loss:1	1061.50289
214	0		1411.67649
215	1	Phosph:3	1252.59514
216	1	Phosph:9	2572.11764
217	1	Phosph:9	2414.02335
218	0		1603.69609
219	2	Phosph:8,Phosph:9	1763.62876
220	0		1752.81787
221	0		1158.56285
222	0		1674.894
223	0		1055.56846
224	1	Phosph:11	1697.6967
225	1	Phosph:9	1444.54284
226	1	Phosph:10	2192.02218
227	3	MinusH2O:1,IodoAcet:4,IodoAcet:8	1599.7537
228	1	Phosph:4	1438.71804
229	1	Phosph:3	1282.61694
230	0		1256.62881
231	2	Phosph:8,Phosph:11	1576.67995
232	2	Phosph:8,Phosph:14	1819.81307
233	1	Phosph:8	1496.71362
234	2	Phosph:4,Phosph:8	1321.5329
235	2	Phosph:5,Phosph:6	1078.39978
236	1	Phosph:6	1811.72926
237	3	Phosph:2,Phosph:4,Phosph:6	2919.12352
238	1	Phosph:15	1797.74173
239	1	Phosph:3	1399.72577
240	2	Phosph:10,Phosph:13	1611.60004
241	2	Phosph:3,IodoAcet:5	1418.6112
242	1	Phosph:3	1304.61252
243	2	Phosph:18,Phosph:19	2458.08242
244	2	MinusH2O:1,Phosph:5	1594.79667
245	3	MinusH2O:1,Phosph:3,Phosph:5	1511.52918
246	1	Phosph:3	1763.86403
247	3	Phosph:3,Phosph:5,Phosph:9	1574.33716
248	2	Phosph:6,Phosph:8	1484.74043
249	1	Phosph:8	1404.7741
250	1	Phosph:13	2131.91974
251	1	Phosph:5	1944.86899
252	1	Phosph:9	1304.60129
253	1	Phosph:4	1495.7395
254	1	Phosph:10	1170.48051
255	1	Phosph:6	1727.79779
256	2	Phosph:2,IodoAcet:5	2031.90708
257	1	Phosph:10	2228.84809
258	1	Phosph:9	1307.59443
259	2	MinusH2O:1,Phosph:13	1578.69663
260	2	Phosph:6,Phosph:7	1732.74333
261	0		1628.8005
262	0		1088.54615
263	0		1147.57202
264	1	Phosph:5	1730.82395
265	1	Phosph:9	1616.79628
266	1	Phosph:9	2331.03789
267	1	Phosph:11	1538.67341
268	2	Phosph:4,Phosph:21	3091.32837
269	0		1651.79133
270	1	Phosph:4	1576.72457
271	1	Phosph:3	1576.72457
272	2	Phosph:2,IodoAcet:17	2325.01947
273	2	Phosph:2,IodoAcet:17	2168.9296
274	1	Phosph:7	1684.68416
275	1	Phosph:3	1683.75766
276	2	Phosph:3,Phosph:5	1763.72399
277	2	Phosph:14,Phosph:17	2327.13266
278	1	Phosph:2	1974.83193
279	1	Phosph:3	1983.91896
280	1	Phosph:17	2619.30163
281	1	Phosph:10	2106.97682
282	1	Phosph:12	2072.88984
283	1	Phosph:11	1944.79488
284	1	Phosph:6	1216.59648
285	1	Phosph:4	1777.9199
286	3	Phosph:2,IodoAcet:10,Phosph:15	2655.23791
287	1	Phosph:3	1535.69803
288	3	Phosph:5,IodoAcet:10,Phosph:11	1558.61794
289	1	Phosph:8	1428.55195
290	1	Phosph:8	1638.67101
291	1	Phosph:1	1597.68852
292	1	Phosph:13	1574.74531
293	1	Phosph:6	1574.74531
294	1	Phosph:4	1049.53824
295	0		1586.78993
296	3	Phosph:2,Phosph:12,Phosph:13	1832.71475
297	2	Phosph:2,Phosph:14	1870.73211
298	3	Phosph:9,Phosph:10,Phosph:13	1778.67183
299	4	MinusH2O:1,Phosph:3,Phosph:4,Phosph:13	1752.68853
300	2	Phosph:7,Phosph:10	1716.73718
301	1	Phosph:3	1747.77052
302	1	Phosph:8	1819.87499
303	2	Phosph:4,Phosph:10	1475.5694
304	1	MinusH2O:1	1282.60405
305	2	Phosph:4,Phosph:15	1722.73652
306	1	Phosph:10	1144.49135
307	1	Phosph:3	1961.99346
308	0		1277.50071
309	1	Phosph:10	1684.73447
310	1	Phosph:7	1242.42887
311	3	Phosph:2,Phosph:13,Phosph:14	2483.97934
312	3	Phosph:8,Phosph:9,Phosph:10	1565.39184
313	3	Phosph:17,Phosph:18,Phosph:20	2366.92081
314	2	Phosph:11,Phosph:13	1617.70516
315	1	Phosph:3	860.35414
316	1	Phosph:3	1389.64012
317	1	Phosph:12	1588.71334
318	1	Phosph:3	2131.97859
319	1	Acetyl:1	2249.08443
320	5	IodoAcet:1,Phosph:3,IodoAcet:8,Phosph:11,Phosph:15	2794.08796
321	1	Phosph:3	1295.62744
322	0		1734.83246
323	3	MinusH2O:1,Phosph:5,Phosph:19	3370.47811
324	0		1262.61422
325	2	Phosph:5,IodoAcet:6	1184.55117
326	1	Phosph:10	1726.81848
327	1	Phosph:9	1570.71738
328	1	Phosph:13	1570.71738
329	1	Phosph:1	2182.0313
330	2	Phosph:9,Phosph:11	1686.71673
331	0		1448.80988
332	2	Phosph:4,Phosph:8	1808.68073
333	4	Phosph:5,Phosph:8,Phosph:11,IodoAcet:16	2296.77451
334	1	Phosph:3	1430.72821
335	1	Phosph:3	1652.777
336	1	Phosph:2	1345.60268
337	1	Phosph:4	1345.60268
338	1	Phosph:1	1618.79398
339	1	Phosph:4	1340.60849
340	3	Phosph:7,Phosph:12,Phosph:13	1765.67658
341	1	Phosph:12	1484.77516
342	2	MinusH2O:1,Phosph:6	1531.57149
343	2	IodoAcet:4,Phosph:5	1745.76545
344	2	MinusH2O:1,IodoAcet:2	1418.64592
345	1	Phosph:20	2319.03789
346	1	Phosph:1	1966.7918
347	1	Phosph:3	1562.73541
348	1	Phosph:3	1406.63431
349	0		1484.79463
350	1	Phosph:12	1621.8188
351	3	Phosph:2,Phosph:3,Phosph:13	2179.9794
352	1	Phosph:3	1400.71765
353	2	Phosph:3,Phosph:9	1616.70722
354	1	Phosph:3	1536.74089
355	2	Phosph:3,Phosph:5	1616.70722
356	1	IodoAcet:2	1097.53275
357	1	Phosph:6	1184.60665
358	1	MinusH2O:1	1058.47404
359	1	Phosph:7	1895.7356
360	1	Phosph:3	1853.84071
361	2	Phosph:1,Phosph:17	2795.04785
362	2	Phosph:4,Phosph:8	1565.7255
363	1	Phosph:7	1760.87089
364	1	Phosph:11	1883.79713
365	2	Phosph:5,Phosph:10	1586.5875
366	1	Phosph:3	1628.72286
367	1	Phosph:17	2142.04561
368	1	IodoAcet:6	997.46507
369	1	Phosph:10	1762.85016
370	1	Phosph:10	1721.89638
371	1	Phosph:9	1660.8297
372	1	Phosph:8	1504.7286
373	1	Phosph:7	1433.69149
374	1	Phosph:7	1052.44267
375	1	Phosph:3	1699.77772
376	2	Phosph:2,IodoAcet:4	2364.01644
377	1	IodoAcet:9	1387.62888
378	4	Phosph:6,Phosph:9,Phosph:13,IodoAcet:17	2615.09325
379	1	Phosph:18	2095.95344
380	1	Phosph:10	1640.74061
381	6	IodoAcet:1,NH3_Loss:1,IodoAcet:7,Phosph:11,IodoAcet:16,Phosph:17	2319.63161
382	5	IodoAcet:4,Phosph:8,IodoAcet:13,Phosph:14,Phosph:15	1840.42427
383	1	Phosph:9	1460.72888
384	1	Phosph:4	1352.63498
385	1	Phosph:3	1159.5274
386	1	Phosph:3	1759.78109
387	1	Phosph:4	1586.80685
388	1	Phosph:3	1458.71189
389	1	Phosph:10	1283.52818
390	2	MinusH2O:1,Phosph:10	1651.77791
391	1	Phosph:3	1835.86787
392	1	Phosph:12	1645.8188
393	1	Phosph:8	1541.69736
394	2	Phosph:12,Phosph:15	1955.84035
395	2	Phosph:2,Phosph:17	2290.18502
396	2	Phosph:6,Phosph:9	1461.68806
397	1	Phosph:14	2516.98021
398	1	Phosph:13	2388.88526
399	1	Phosph:3	1351.64963
400	1	Phosph:4	1626.75751
401	1	Phosph:2	1851.88008
402	1	Phosph:3	1800.84805
403	2	Phosph:3,IodoAcet:5	1544.66535
404	2	Phosph:21,IodoAcet:23	3193.29304
405	2	Phosph:6,Phosph:11	1693.75759
406	1	Phosph:3	1861.8359
407	1	Phosph:2	1705.7348
408	1	Phosph:2	1658.66718
409	1	Phosph:15	2178.04292
410	2	Phosph:7,Phosph:8	1150.43551
411	2	Phosph:5,Phosph:8	1452.62619
412	1	Phosph:5	1756.79919
413	1	Phosph:3	1826.79074
414	1	Phosph:13	1509.65722
415	1	Phosph:20	2440.16342
416	1	Phosph:3	1680.8083
417	1	Phosph:3	1250.63834
418	1	Phosph:9	3368.3939
419	1	Phosph:3	1545.69764
420	1	Phosph:11	1445.60749
421	2	Phosph:4,Phosph:18	2765.16553
422	1	Phosph:3	1677.82389
423	4	Phosph:1,Phosph:4,IodoAcet:9,IodoAcet:16	2004.6056
424	2	Phosph:2,Phosph:8	1637.75786
425	6	Phosph:2,Phosph:3,IodoAcet:8,IodoAcet:11,Phosph:13,IodoAcet:14	2329.62098
426	1	Phosph:9	1867.90398
427	2	MinusH2O:1,Phosph:11	2022.83596
428	1	Phosph:3	1468.65583
429	2	Phosph:19,Phosph:21	2676.22701
430	1	Phosph:2	2001.89314
431	1	Phosph:3	2342.04734
432	0		1746.75433
433	1	Phosph:10	1102.53109
434	1	Phosph:12	1923.93824
435	1	Phosph:1	2477.99714
436	1	Phosph:3	2248.85451
437	1	Phosph:4	1338.50884
438	1	Phosph:4	1668.81953
439	1	Phosph:4	1397.65644
440	1	Phosph:1	2147.93712
441	2	Phosph:16,Phosph:17	2099.87137
442	1	Phosph:4	1388.65611
443	1	Phosph:8	1503.74861
444	1	Phosph:9	1429.63906
445	0		1520.66301
446	3	Phosph:2,Phosph:4,Phosph:16	2378.8276
447	1	Phosph:6	1404.61733
448	3	Phosph:3,Phosph:8,Phosph:10	2595.88872
449	2	Phosph:6,Phosph:10	1802.74881
450	1	Phosph:4	1329.53366
451	2	Phosph:3,Phosph:7	1515.48369
452	1	Phosph:3	1467.82138
453	1	Phosph:9	1310.64823
454	1	Phosph:18	2314.06298
455	1	Phosph:19	2716.24926
456	1	Phosph:6	1422.74828
457	1	Phosph:4	1391.57917
458	1	Phosph:13	3112.50764
459	1	Phosph:3	2321.96612
460	1	Phosph:1	1694.70827
461	1	Phosph:3	1208.59542
462	3	Phosph:5,Phosph:14,Phosph:15	2620.04952
463	1	Phosph:14	1991.92742
464	2	Phosph:1,Phosph:2	1860.87601
465	1	Phosph:3	1868.89673
466	1	Phosph:11	1848.81033
467	2	Phosph:9,Phosph:12	2463.92027
468	1	Phosph:3	1756.81847
469	1	Phosph:3	879.41026
470	1	Phosph:4	1783.95965
471	1	Phosph:8	1917.92096
472	1	Phosph:2	1292.54714
473	1	Phosph:13	2167.91705
474	1	Phosph:15	2544.17437
475	3	Acetyl:1,Phosph:8,IodoAcet:10	1456.64211
476	0		987.48724
477	2	Phosph:3,Phosph:4	1364.62138
478	2	Phosph:2,Phosph:7	1854.81246
479	1	Phosph:3	1396.60302
480	1	Phosph:3	1072.49538
481	1	Phosph:2	1001.45827
482	4	NH3_Loss:1,Phosph:2,Phosph:12,Phosph:13	2036.7642
483	1	Phosph:16	2517.1244
484	1	Phosph:3	1280.66013
485	1	Phosph:4	988.39025
486	1	Phosph:8	1649.82111
487	4	Phosph:6,Phosph:14,Phosph:15,IodoAcet:18	3020.3196
488	1	Phosph:8	2214.9463
489	1	Phosph:7	2058.8452
490	1	Phosph:2	2104.90616
491	1	Phosph:3	1205.65326
492	5	IodoAcet:1,NH3_Loss:1,Phosph:10,Phosph:18,Phosph:19	2564.89165
493	3	IodoAcet:5,Phosph:14,IodoAcet:19	1943.73245
494	5	IodoAcet:5,Phosph:12,Phosph:14,Phosph:15,IodoAcet:19	2321.77063
495	1	Phosph:3	1538.76394
496	0		1629.80831
497	1	Phosph:5	1720.64778
498	1	Phosph:10	1836.79304
499	1	Phosph:5	1695.79807
500	1	Phosph:5	1952.93561
501	0		1253.55974
502	0		1576.69796
503	0		1652.82449
504	3	Phosph:7,Phosph:24,Phosph:25	3069.37486
505	0		1744.80156
506	2	Phosph:5,Phosph:17	2208.83477
507	0		1981.99555
508	2	MinusH2O:1,IodoAcet:11	1477.53366
509	0		1075.68654
510	0		951.46611
511	1	IodoAcet:11	1154.61172
512	4	IodoAcet:4,Phosph:11,Phosph:15,Phosph:16	2049.63926
513	2	IodoAcet:3,Phosph:4	2134.00634
514	0		1587.73507
515	2	Phosph:3,IodoAcet:11	1733.78071
516	0		1412.64725
517	1	Phosph:7	2203.90179
518	1	Phosph:18	2141.9014
519	1	Phosph:3	1453.63504
520	1	Phosph:8	1164.50767
521	1	Phosph:1	1467.67987
522	1	Phosph:4	1690.86542
523	0		1322.58101
524	0		1607.00612
