Unique_Seq_ID	Cleavage_State	Terminus_State	Protein_Name	Protein_Expectation_Value_Log(e)	Protein_Intensity_Log(I)
1	2	0	sp|P60709|ACTB_HUMAN		
2	2	0	sp|P60866|RS20_HUMAN		
3	2	0	sp|P06744|G6PI_HUMAN		
4	2	0	sp|Q9H307|PININ_HUMAN		
5	2	0	sp|P04792|HSPB1_HUMAN		
6	2	0	sp|P05388|RLA0_HUMAN		
7	2	0	sp|Q9Y2X3|NOP58_HUMAN		
8	2	0	sp|P30043|BLVRB_HUMAN		
9	2	0	sp|Q96AE4|FUBP1_HUMAN		
10	2	0	sp|P60174|TPIS_HUMAN		
11	2	0	sp|P60709|ACTB_HUMAN		
12	2	0	sp|P21333|FLNA_HUMAN		
13	2	0	sp|P37802|TAGL2_HUMAN		
14	2	0	sp|P06576|ATPB_HUMAN		
15	2	0	sp|P08727|K1C19_HUMAN		
16	2	0	sp|P68104|EF1A1_HUMAN		
17	2	0	sp|P08727|K1C19_HUMAN		
18	2	0	sp|P60660|MYL6_HUMAN		
19	2	0	sp|P17812|PYRG1_HUMAN		
20	2	0	sp|Q6UW68|TM205_HUMAN		
21	1	0	sp|P05783|K1C18_HUMAN		
22	2	0	sp|P05787|K2C8_HUMAN		
23	2	0	sp|P60174|TPIS_HUMAN		
24	2	0	sp|P62805|H4_HUMAN		
25	2	0	sp|P04792|HSPB1_HUMAN		
26	1	0	sp|P53597|SUCA_HUMAN		
27	2	0	Contaminant_TRYP_BOVIN		
28	2	0	sp|P53597|SUCA_HUMAN		
29	2	0	sp|P53007|TXTP_HUMAN		
30	1	0	sp|Q96AE4|FUBP1_HUMAN		
31	2	0	sp|P25705|ATPA_HUMAN		
32	2	0	sp|P15259|PGAM2_HUMAN		
33	2	0	sp|Q9BUP3|HTAI2_HUMAN		
34	2	0	sp|P48735|IDHP_HUMAN		
35	2	0	sp|Q93050|VPP1_HUMAN		
36	2	0	sp|P24539|AT5F1_HUMAN		
37	2	0	sp|P61978|HNRPK_HUMAN		
38	2	0	sp|P60174|TPIS_HUMAN		
39	2	0	sp|Q9UKN8|TF3C4_HUMAN		
40	2	0	sp|P49327|FAS_HUMAN		
41	2	0	sp|Q6UXV4|MIC27_HUMAN		
42	2	0	sp|P49368|TCPG_HUMAN		
43	2	0	sp|O00303|EIF3F_HUMAN		
44	2	0	sp|Q96AE4|FUBP1_HUMAN		
45	2	0	sp|P05783|K1C18_HUMAN		
46	2	0	sp|P05787|K2C8_HUMAN		
47	2	0	sp|Q13423|NNTM_HUMAN		
48	2	0	sp|P62333|PRS10_HUMAN		
49	2	0	sp|Q92945|FUBP2_HUMAN		
50	2	0	sp|P05783|K1C18_HUMAN		
51	2	0	sp|P51610|HCFC1_HUMAN		
52	2	0	sp|P09467|F16P1_HUMAN		
53	2	0	sp|O60814|H2B1K_HUMAN		
54	1	0	sp|P05783|K1C18_HUMAN		
55	2	0	sp|P62937|PPIA_HUMAN		
56	2	0	sp|P11021|BIP_HUMAN		
57	2	0	sp|Q6NUK1|SCMC1_HUMAN		
58	2	0	sp|Q9HAV4|XPO5_HUMAN		
59	2	0	sp|P48729|KC1A_HUMAN		
60	2	0	sp|O00231|PSD11_HUMAN		
61	2	0	sp|P55084|ECHB_HUMAN		
62	2	0	sp|P04406|G3P_HUMAN		
63	2	0	sp|Q5VYK3|ECM29_HUMAN		
64	2	0	sp|P23396|RS3_HUMAN		
65	2	0	sp|P08727|K1C19_HUMAN		
66	2	0	sp|P06307|CCKN_HUMAN		
67	2	0	sp|P05787|K2C8_HUMAN		
68	2	0	sp|Q16563|SYPL1_HUMAN		
69	2	0	sp|P99999|CYC_HUMAN		
70	2	0	sp|Q02878|RL6_HUMAN		
71	2	0	sp|Q15393|SF3B3_HUMAN		
72	2	0	sp|Q9Y487|VPP2_HUMAN		
73	2	0	sp|P05787|K2C8_HUMAN		
74	2	0	sp|P25786|PSA1_HUMAN		
