Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides QC_Shew_16_01	Razor + unique peptides QC_Shew_16_01	Unique peptides QC_Shew_16_01	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Sequence coverage QC_Shew_16_01 [%]	Intensity	Intensity QC_Shew_16_01	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
Contaminant_TRYP_BOVIN;Contaminant_TRYP_PIG;CON__P00761;CON__P07477	Contaminant_TRYP_BOVIN	4;1;1;1	4;1;1;1	4;1;1;1	Contaminant_TRYP_BOVIN	4	4	4	4	4	4	4	21.4	21.4	21.4	23.993	229	229;231;231;247	0	40.693	21.4	82135000	82135000	34				0	733;892;1112;1145	True;True;True;True	768;935;1166;1200	1179;1435;1436;1437;1438;1439;1440;1778;1817	2152;2153;2154;2155;2156;2157;2721;2722;2723;2724;2725;2726;2727;2728;2729;2730;2731;2732;2733;2734;2735;2736;2737;2738;2739;2740;2741;2742;2743;2744;2745;3301;3357;3358	2152;2721;3301;3357			-1;-1;-1;-1
REV__SO_0095	REV__SO_0095	1	1	1	SO_0095	1	1	1	1	1	1	1	0	0	0	43.91	408	408	0.0027064	5.6766	0	12726000	12726000	1		+		1	150	True	154	205	322	322			-1
REV__SO_0950	REV__SO_0950	1	1	1	SO_0950	1	1	1	1	1	1	1	0	0	0	34.312	300	300	0.0090556	5.4748	0	526350	526350	1		+		2	143	True	147	198	314	314			-1
REV__SO_1629	REV__SO_1629	1	1	1	SO_1629	1	1	1	1	1	1	1	0	0	0	26.569	242	242	0.0040486	5.6615	0	430570	430570	1		+		3	116	True	119	159	264	264			-1
REV__SO_3242	REV__SO_3242	1	1	1	SO_3242	1	1	1	1	1	1	1	0	0	0	38.456	363	363	0.0065963	5.5262	0	203390	203390	1		+		4	431	True	452	720	1356	1356			-1
REV__SO_4094	REV__SO_4094	1	1	1	SO_4094	1	1	1	1	1	1	1	0	0	0	56.501	502	502	0.0013774	5.8296	0	32656000	32656000	3		+		5	859	True	902	1389;1390	2635;2636;2637;2638	2635			-1
REV__SO_4344	REV__SO_4344	1	1	1	SO_4344	1	1	1	1	1	1	1	0	0	0	58.971	545	545	0.0078023	5.4981	0	3548100	3548100	1		+		6	1238	True	1295	1958	3626	3626			-1
REV__SO_4521	REV__SO_4521	1	1	1	SO_4521	1	1	1	1	1	1	1	0	0	0	8.4486	77	77	0.0053981	5.6563	0	3200400	3200400	2		+		7	343	True	359	526	1001;1002	1001			-1
SO_0007	SO_0007	2	2	2	SO_0007	1	2	2	2	2	2	2	22.2	22.2	22.2	5.125	45	45	0	14.572	22.2	48032000	48032000	4				8	1065;1177	True;True	1115;1233	1714;1870	3201;3454;3455;3456	3201;3455			-1
SO_0008	SO_0008	1	1	1	SO_0008	1	1	1	1	1	1	1	3.9	3.9	3.9	51.97	460	460	0	9.484	3.9	979560	979560	1				9	1262	True	1319	1998	3694	3694			-1
SO_0011	SO_0011	5	5	5	SO_0011	1	5	5	5	5	5	5	5.3	5.3	5.3	89.986	805	805	0	34.389	5.3	10671000	10671000	9				10	573;596;775;1307;1380	True;True;True;True;True	600;625;812;1366;1441	945;978;979;1253;2072;2185	1731;1732;1733;1796;1797;2272;3811;3998;3999	1732;1797;2272;3811;3999			-1
SO_0012	SO_0012	1	1	1	SO_0012	1	1	1	1	1	1	1	9.1	9.1	9.1	25.139	220	220	0	14.217	9.1	1036400	1036400	1				11	129	True	133	178	287	287			-1
SO_0013	SO_0013	1	1	1	SO_0013	1	1	1	1	1	1	1	2.6	2.6	2.6	39.248	347	347	0	8.3509	2.6	454500	454500	1				12	994	True	1038	1579	2981	2981			-1
SO_0014	SO_0014	4	4	4	SO_0014	1	4	4	4	4	4	4	8	8	8	74.935	688	688	0	44.392	8	41609000	41609000	12				13	456;769;975;998	True;True;True;True	481;806;1019;1043	766;767;1245;1558;1586;1587	1419;1420;1421;1422;2263;2264;2941;2993;2994;2995;2996;2997	1421;2263;2941;2994			-1
SO_0018	SO_0018	1	1	1	SO_0018	1	1	1	1	1	1	1	6.2	6.2	6.2	15.916	145	145	0	6.2737	6.2	476950	476950	1				14	927	True	970	1490	2835	2835			-1
SO_0020	SO_0020	1	1	1	SO_0020	1	1	1	1	1	1	1	1.8	1.8	1.8	40.755	387	387	0	7.4276	1.8	2640600	2640600	1				15	1113	True	1167	1779	3302	3302			-1
SO_0021	SO_0021	1	1	1	SO_0021	1	1	1	1	1	1	1	1.3	1.3	1.3	76.692	716	716	0	10.249	1.3	12872000	12872000	4				16	576	True	603	948;949	1743;1744;1745;1746	1745			-1
SO_0022	SO_0022	2	2	2	SO_0022	1	2	2	2	2	2	2	6.6	6.6	6.6	49.907	439	439	0	13.77	6.6	1425800	1425800	6				17	138;905	True;True	142;948	191;192;1458	304;305;306;307;308;2775	304;2775			-1
SO_0026	SO_0026	2	2	2	SO_0026	1	2	2	2	2	2	2	24.5	24.5	24.5	11.434	102	102	0	15.594	24.5	9200500	9200500	4				18	628;731	True;True	661;766	1036;1037;1176	1904;1905;1906;1907;2149	1904;2149			-1
SO_0029	SO_0029	2	2	2	SO_0029	1	2	2	2	2	2	2	3.4	3.4	3.4	51.353	469	469	0	15.648	3.4	5111300	5111300	5				19	662;939	True;True	695;696;982	1082;1083;1503;1504	2026;2027;2028;2852;2853	2026;2853	0	338	-1
SO_0031	SO_0031	1	1	1	SO_0031	1	1	1	1	1	1	1	2.5	2.5	2.5	34.593	318	318	0	10.003	2.5	1999200	1999200	1				20	579	True	606	952	1754	1754			-1
SO_0049	SO_0049	3	3	3	SO_0049	1	3	3	3	3	3	3	11.1	11.1	11.1	55.921	514	514	0	24.396	11.1	1263100	1263100	6				21	784;1149;1334	True;True;True	821;1204;1393	1266;1822;1823;2103	2297;2298;3368;3369;3370;3858	2298;3370;3858			-1
SO_0053	SO_0053	2	2	2	SO_0053	1	2	2	2	2	2	2	8.3	8.3	8.3	35.778	338	338	0	15.118	8.3	1751100	1751100	2				22	991;1023	True;True	1035;1068	1576;1642	2978;3090	2978;3090			-1
SO_0063	SO_0063	1	1	1	SO_0063	1	1	1	1	1	1	1	2.1	2.1	2.1	48.453	435	435	0.0065445	5.5109	2.1	812420	812420	1				23	424	True	444	709	1336	1336			-1
SO_0076	SO_0076	3	3	2	SO_0076	1	3	3	2	3	3	2	5	5	2.4	93.316	828	828	0	34.767	5	4547100	4547100	9				24	660;710;1104	True;True;True	693;745;1158	1079;1147;1767	2018;2019;2020;2021;2022;2023;2115;2116;3281	2021;2115;3281			-1
SO_0118	SO_0118	1	1	1	SO_0118	1	1	1	1	1	1	1	5.2	5.2	5.2	31.866	290	290	0	9.0861	5.2	191410	191410	1				25	66	True	66	94	159	159			-1
SO_0142	SO_0142	2	2	2	SO_0142	1	2	2	2	2	2	2	8.3	8.3	8.3	22.956	217	217	0	10.817	8.3	373280	373280	2				26	105;924	True;True	108;967	146;1487	247;2831	247;2831			-1
SO_0151	SO_0151	1	1	1	SO_0151	1	1	1	1	1	1	1	7.5	7.5	7.5	28.415	255	255	0	7.0849	7.5	627970	627970	2				27	1395	True	1456	2201	4025;4026	4025			-1
SO_0162	SO_0162	4	4	4	SO_0162	1	4	4	4	4	4	4	12.1	12.1	12.1	55.883	513	513	0	50.625	12.1	90223000	90223000	17				28	408;659;1261;1315	True;True;True;True	428;692;1318;1374	691;1078;1997;2082;2083	1310;1311;2015;2016;2017;3690;3691;3692;3693;3824;3825;3826;3827;3828;3829;3830;3831	1311;2016;3692;3831			-1
SO_0167	SO_0167	1	1	1	SO_0167	1	1	1	1	1	1	1	1.5	1.5	1.5	57.659	521	521	0	6.3771	1.5	564240	564240	1				29	764	True	801	1232	2245	2245			-1
SO_0168	SO_0168	1	1	1	SO_0168	1	1	1	1	1	1	1	1.7	1.7	1.7	44.531	407	407	0	6.0457	1.7	292150	292150	1				30	193	True	200	287	520	520			-1
SO_0184	SO_0184	1	1	1	SO_0184	1	1	1	1	1	1	1	6.6	6.6	6.6	19.18	183	183	0	8.5206	6.6	1174600	1174600	3				31	328	True	344	504	964;965;966	964			-1
SO_0185	SO_0185	1	1	1	SO_0185	1	1	1	1	1	1	1	9.1	9.1	9.1	18.246	176	176	0	18.626	9.1	25705000	25705000	2				32	330	True	346	507	969;970	970			-1
SO_0195	SO_0195	1	1	1	SO_0195	1	1	1	1	1	1	1	5.3	5.3	5.3	42.611	376	376	0	6.038	5.3	426940	426940	1				33	958	True	1001	1537	2899	2899			-1
SO_0196	SO_0196	2	2	2	SO_0196	1	2	2	2	2	2	2	11.9	11.9	11.9	36.965	352	352	0	25.787	11.9	1786600	1786600	1				34	818;1290	True;True	856;1349	1307;2034	2353;3736	2353;3736			-1
SO_0229;SO_0217	SO_0229;SO_0217	8;8	8;8	8;8	SO_0229;SO_0217	2	8	8	8	8	8	8	25.9	25.9	25.9	43.284	394	394;394	0	90.029	25.9	156350000	156350000	114				35	65;136;323;324;356;560;969;1220	True;True;True;True;True;True;True;True	65;140;339;340;374;587;1012;1013;1277	93;189;480;481;482;483;484;485;486;487;488;489;490;491;492;493;494;495;496;497;498;499;570;928;1548;1549;1550;1551;1552;1937;1938	158;300;875;876;877;878;879;880;881;882;883;884;885;886;887;888;889;890;891;892;893;894;895;896;897;898;899;900;901;902;903;904;905;906;907;908;909;910;911;912;913;914;915;916;917;918;919;920;921;922;923;924;925;926;927;928;929;930;931;932;933;934;935;936;937;938;939;940;941;942;943;944;945;946;947;948;949;950;951;952;953;954;955;956;957;958;1108;1704;2915;2916;2917;2918;2919;2920;2921;2922;2923;2924;2925;2926;2927;2928;2929;2930;2931;2932;2933;2934;3579;3580;3581;3582;3583;3584	158;300;900;954;1108;1704;2927;3584	1	135	-1;-1
SO_0219	SO_0219	1	1	1	SO_0219	1	1	1	1	1	1	1	6.6	6.6	6.6	20.903	183	183	0	12.097	6.6	3974000	3974000	2				36	1031	True	1078	1663	3116;3117	3117			-1
SO_0220	SO_0220	2	2	2	SO_0220	1	2	2	2	2	2	2	16.9	16.9	16.9	15.107	142	142	0	14.509	16.9	2816000	2816000	6				37	316;1105	True;True	331;1159	468;1768;1769	853;3282;3283;3284;3285;3286	853;3286			-1
SO_0221	SO_0221	3	3	3	SO_0221	1	3	3	3	3	3	3	18.5	18.5	18.5	24.6	233	233	0	35	18.5	4033100	4033100	5				38	879;1240;1323	True;True;True	922;1297;1382	1411;1412;1960;2092	2666;2667;2668;3628;3843	2666;3628;3843			-1
SO_0222	SO_0222	3	3	3	SO_0222	1	3	3	3	3	3	3	16.3	16.3	16.3	17.743	166	166	0	18.896	16.3	1800600	1800600	5				39	79;677;770	True;True;True	81;712;807	109;1111;1246	177;178;2071;2072;2265	177;2071;2265			-1
SO_0223	SO_0223	3	3	3	SO_0223	1	3	3	3	3	3	3	59.8	59.8	59.8	12.516	122	122	0	35.518	59.8	1841400	1841400	3				40	90;142;185	True;True;True	93;146;192	123;197;264	206;313;424	206;313;424			-1
SO_0224	SO_0224	8	8	8	SO_0224	1	8	8	8	8	8	8	7.9	7.9	7.9	150.29	1345	1345	0	70.137	7.9	68324000	68324000	23				41	151;571;790;1013;1014;1136;1265;1333	True;True;True;True;True;True;True;True	155;598;828;1058;1059;1191;1322;1392	206;941;942;943;1273;1615;1616;1617;1805;2002;2003;2102	323;1720;1721;1722;1723;1724;1725;1726;1727;1728;1729;2305;3050;3051;3052;3053;3054;3340;3698;3699;3855;3856;3857	323;1726;2305;3050;3051;3340;3698;3856			-1
SO_0225	SO_0225	11	11	11	SO_0225	1	11	11	11	11	11	11	9.2	9.2	9.2	155.52	1405	1405	0	120.02	9.2	94658000	94658000	33				42	73;74;229;276;457;584;747;822;827;1168;1176	True;True;True;True;True;True;True;True;True;True;True	73;74;75;76;237;287;482;611;612;782;860;865;1223;1232	101;102;103;104;326;327;402;768;958;959;960;1197;1198;1314;1321;1856;1857;1868;1869	167;168;169;170;171;172;595;596;597;598;727;728;1423;1768;1769;1770;1771;1772;1773;1774;2181;2182;2368;2378;2379;3427;3428;3448;3449;3450;3451;3452;3453	167;172;597;727;1423;1768;2182;2368;2379;3428;3450	2;3;4	102;372;596	-1
SO_0226	SO_0226	2	2	2	SO_0226	1	2	2	2	2	2	2	27.4	27.4	27.4	13.65	124	124	0	13.487	27.4	26254000	26254000	4				43	605;801	True;True	635;839	995;996;1285	1825;1826;1827;2325	1826;2325			-1
SO_0227	SO_0227	1	1	1	SO_0227	1	1	1	1	1	1	1	14.7	14.7	14.7	17.731	156	156	0	13.916	14.7	1061200	1061200	9				44	520	True	546	869;870;871;872	1598;1599;1600;1601;1602;1603;1604;1605;1606	1606			-1
SO_0228	SO_0228	4	4	4	SO_0228	1	4	4	4	4	4	4	6.7	6.7	6.7	76.949	698	698	0	34.696	6.7	18879000	18879000	10				45	320;399;430;1282	True;True;True;True	336;419;450;451;1341	476;477;631;632;718;719;2025	866;867;868;869;1228;1229;1230;1354;1355;3726	869;1228;1354;3726	5	658	-1
SO_0230	SO_0230	3	3	3	SO_0230	1	3	3	3	3	3	3	20.4	20.4	20.4	11.768	103	103	0	17.889	20.4	1487900	1487900	3				46	724;1390;1391	True;True;True	759;1451;1452	1165;2196;2197	2136;4020;4021	2136;4020;4021			-1
