Unique_Seq_ID	Mod_Count	Mod_Description	Monoisotopic_Mass
1	1	TMT16Tag:1	3260.665
2	3	TMT16Tag:1,Deamide:7,Acetyl:29	3611.86891
3	2	TMT16Tag:1,IodoAcet:19	4219.01002
4	1	TMT16Tag:1	2901.53082
5	2	TMT16Tag:1,Acetyl:24	2909.55703
6	4	TMT16Tag:1,Plus1Oxy:7,IodoAcet:27,Acetyl:32	4031.00916
7	3	TMT16Tag:1,Plus1Oxy:6,Acetyl:11	3361.59567
8	3	TMT16Tag:1,Plus1Oxy:9,Acetyl:35	4074.84605
9	3	TMT16Tag:1,Acetyl:20,TMT16Tag:32	3944.9272
10	1	TMT16Tag:1	4018.0858
11	3	TMT16Tag:1,IodoAcet:27,Acetyl:32	3939.01596
12	1	TMT16Tag:1	3039.59487
13	2	TMT16Tag:1,Acetyl:3	3054.69379
14	3	TMT16Tag:1,Plus1Oxy:15,Acetyl:29	3626.87981
15	1	TMT16Tag:1	3228.62756
16	3	TMT16Tag:1,Acetyl:11,TMT16Tag:28	3551.92318
17	3	TMT16Tag:1,IodoAcet:4,TMT16Tag:25	3517.76047
18	2	TMT16Tag:1,Acetyl:12	2709.40457
19	2	TMT16Tag:1,Carbamyl:3	3055.68904
20	2	TMT16Tag:1,Acetyl:5	4319.09279
21	2	TMT16Tag:1,Acetyl:12	3354.68038
22	3	TMT16Tag:1,Acetyl:4,IodoAcet:23	3369.76742
23	4	TMT16Tag:1,IodoAcet:11,Acetyl:13,Deamide:20	2932.43488
24	2	Acetyl:1,TMT16Tag:1	2713.47225
25	3	TMT16Tag:1,Deamide:9,Acetyl:12	2710.38858
26	1	TMT16Tag:1	2780.5396
27	2	TMT16Tag:1,TMT16Tag:19	2856.45785
28	2	TMT16Tag:1,TMT16Tag:24	3347.71695
29	2	TMT16Tag:1,Acetyl:5	2388.2146
30	5	TMT16Tag:1,Plus1Oxy:7,IodoAcet:13,IodoAcet:27,TMT16Tag:32	4210.10326
31	4	TMT16Tag:1,Plus1Oxy:15,Deamide:17,Acetyl:29	3627.86382
32	3	TMT16Tag:1,Plus1Oxy:7,IodoAcet:9	3076.5546
33	3	TMT16Tag:1,IodoAcet:8,Acetyl:26	3390.72147
34	5	TMT16Tag:1,IodoAcet:4,Acetyl:6,IodoAcet:7,TMT16Tag:31	4278.04931
35	3	TMT16Tag:1,IodoAcet:11,Acetyl:13	2931.45086
36	5	TMT16Tag:1,IodoAcet:4,Acetyl:6,IodoAcet:7,TMT16Tag:31	4279.06971
37	4	TMT16Tag:1,Plus1Oxy:19,Acetyl:21,TMT16Tag:31	3832.92259
38	4	TMT16Tag:1,Plus1Oxy:19,Carbamyl:21,TMT16Tag:31	3833.91783
39	2	TMT16Tag:1,IodoAcet:3	2676.48574
40	4	TMT16Tag:1,IodoAcet:3,Acetyl:14,TMT16Tag:31	3906.95534
41	3	TMT16Tag:1,Plus1Oxy:6,TMT16Tag:25	3475.76313
42	1	TMT16Tag:1	4241.23312
43	3	TMT16Tag:1,Acetyl:3,TMT16Tag:19	2773.44187
44	2	TMT16Tag:1,Acetyl:25	3277.69424
45	3	Acetyl:1,TMT16Tag:1,TMT16Tag:27	4700.52684
46	4	TMT16Tag:1,Plus1Oxy:13,Acetyl:24,TMT16Tag:32	4002.13798
47	1	TMT16Tag:1	2770.40721
48	3	TMT16Tag:1,Acetyl:21,TMT16Tag:31	3816.92767
49	2	TMT16Tag:1,Acetyl:28	2995.60102
50	1	TMT16Tag:1	2490.36667
51	1	TMT16Tag:1	2971.52506
52	1	TMT16Tag:1	2822.44637
53	1	TMT16Tag:1	3275.85649
54	2	TMT16Tag:1,Acetyl:15	3208.67999
55	3	TMT16Tag:1,Acetyl:23,TMT16Tag:32	4459.10119
56	3	TMT16Tag:1,Acetyl:5,TMT16Tag:25	3134.61283
57	2	TMT16Tag:1,IodoAcet:18	2451.24412
58	4	TMT16Tag:1,Plus1Oxy:12,Acetyl:21,TMT16Tag:27	3598.86593
59	4	TMT16Tag:1,Plus1Oxy:10,Acetyl:21,TMT16Tag:24	2984.73408
60	2	TMT16Tag:1,TMT16Tag:30	3825.02328
61	5	TMT16Tag:1,IodoAcet:2,IodoAcet:11,Acetyl:13,TMT16Tag:22	3146.51445
62	1	TMT16Tag:1	2817.59772
63	1	TMT16Tag:1	2764.47191
64	5	TMT16Tag:1,TMT16Tag:1,Acetyl:19,Acetyl:22,TMT16Tag:23	3378.75711
65	3	TMT16Tag:1,IodoAcet:3,Acetyl:13	2944.50765
66	1	TMT16Tag:1	2713.45112
67	2	TMT16Tag:1,Acetyl:8	2488.25982
68	1	TMT16Tag:1	2962.62532
69	1	TMT16Tag:1	2282.20126
70	4	TMT16Tag:1,Acetyl:5,Plus1Oxy:19,TMT16Tag:25	3690.67634
71	5	TMT16Tag:1,IodoAcet:5,IodoAcet:12,Acetyl:13,TMT16Tag:25	3479.76729
72	2	TMT16Tag:1,TMT16Tag:22	3075.72662
73	3	TMT16Tag:1,Acetyl:3,TMT16Tag:19	2873.63714
74	3	TMT16Tag:1,Acetyl:3,Deamide:12	2960.52618
75	1	TMT16Tag:1	2495.40714
76	3	TMT16Tag:1,Acetyl:2,TMT16Tag:22	2941.59461
77	3	TMT16Tag:1,Plus1Oxy:13,TMT16Tag:21	3003.58848
78	1	TMT16Tag:1	2948.60116
79	4	Plus1Oxy:1,TMT16Tag:1,IodoAcet:14,Acetyl:20	2976.48962
80	4	TMT16Tag:1,IodoAcet:10,Acetyl:12,TMT16Tag:23	3110.61754
81	2	TMT16Tag:1,Acetyl:11	2588.2249
82	4	TMT16Tag:1,Acetyl:3,Acetyl:10,Plus1Oxy:18	3106.62518
83	3	TMT16Tag:1,IodoAcet:21,Acetyl:27	3257.57935
84	5	TMT16Tag:1,Carbamyl:5,IodoAcet:8,Plus1Oxy:17,TMT16Tag:32	4221.11051
85	2	TMT16Tag:1,Acetyl:18	2517.42385
86	1	TMT16Tag:1	2591.36137
87	2	TMT16Tag:1,Acetyl:3	2463.21744
