Unique_Seq_ID	Cleavage_State	Terminus_State	Protein_Name	Protein_Expectation_Value_Log(e)	Protein_Intensity_Log(I)
1	2	0	SO_2916		
2	2	0	SO_0770		
3	2	0	SO_2345		
4	2	0	SO_1779		
5	2	0	SO_2907		
6	2	0	SO_2427		
7	2	0	SO_2907		
8	2	0	SO_3471		
9	2	0	SO_2907		
10	2	0	SO_A0161		
11	2	0	SO_0021		
12	2	0	SO_0932		
13	2	0	SO_3441		
14	2	0	SO_1126		
15	2	0	SO_4749		
16	2	0	SO_0842		
17	2	0	SO_1538		
18	2	0	SO_0704		
19	2	0	SO_0162		
20	2	0	SO_1095		
21	2	1	SO_2402		
22	2	0	SO_3072		
23	2	0	SO_2427		
24	2	0	SO_1551		
25	2	0	SO_3340		
26	2	0	SO_2340		
27	2	0	SO_2787		
28	2	0	SO_3144		
29	2	0	SO_0224		
30	2	0	SO_2336		
31	2	0	SO_0840		
32	2	0	SO_0247		
33	2	0	SO_0435		
34	2	0	SO_1103		
35	2	0	SO_3144		
36	2	1	SO_2476		
37	2	0	SO_2427		
38	2	0	SO_0987		
39	2	0	SO_0929		
40	2	0	SO_0432		
41	2	0	SO_2907		
42	2	0	SO_3238		
42	2	0	SO_3237		
43	2	0	SO_4538		
44	2	0	SO_3942		
45	2	0	SO_0862		
46	2	0	SO_2583		
47	2	0	SO_2222		
48	2	0	SO_2222		
49	2	0	SO_2593		
50	2	0	SO_4105		
51	2	0	SO_0432		
52	2	0	SO_2427		
53	2	0	SO_0224		
54	2	0	SO_0225		
55	2	0	SO_1637		
56	2	0	SO_3740		
57	2	0	SO_0432		
58	2	0	SO_2279		
59	2	0	SO_0704		
60	2	0	SO_2638		
61	2	0	SO_3471		
62	2	0	SO_4055		
63	2	0	SO_2907		
64	2	0	SO_0432		
65	2	0	SO_3800		
66	2	0	SO_1892		
67	2	0	SO_0929		
68	2	0	SO_2907		
69	2	0	SO_4747		
70	2	0	SO_2062		
71	2	0	SO_1778		
72	2	0	SO_3842		
73	2	0	SO_2427		
74	2	0	SO_2903		
75	2	0	SO_2769		
76	2	0	SO_0770		
77	2	0	SO_0344		
78	2	0	SO_3202		
79	2	0	SO_4105		
80	2	0	SO_0840		
81	2	0	SO_0429		
82	2	0	SO_0224		
83	2	0	SO_2341		
84	2	0	SO_3545		
85	2	0	SO_0224		
86	2	0	SO_0770		
87	2	0	SO_1825		
88	2	0	SO_0704		
89	2	0	SO_0770		
90	2	0	SO_0220		
91	2	0	SO_3142		
92	2	0	SO_0246		
93	2	0	SO_2427		
94	2	0	SO_3733		
95	2	1	SO_2402		
96	2	0	SO_2402		
97	2	0	SO_1095		
98	2	0	SO_2629		
99	2	0	SO_2491		
100	2	0	SO_3287		
101	2	0	SO_1209		
102	2	0	SO_2747		
103	2	0	SO_0405		
104	2	0	SO_1209		
105	2	0	SO_3545		
106	2	0	SO_3471		
107	2	0	SO_0406		
108	2	0	SO_0425		
109	2	0	SO_1142		
110	2	0	SO_2427		
111	2	0	SO_0405		
112	2	0	SO_1825		
113	2	0	SO_0818		
114	2	0	SO_1126		
115	2	0	SO_0232		
116	2	0	SO_0217		
116	2	0	SO_0229		
117	2	0	SO_3942		
118	2	0	SO_2791		
119	2	0	SO_2112		
120	2	0	SO_0278		
121	2	0	SO_2016		
122	2	0	SO_0429		
123	2	0	SO_0276		
124	2	0	SO_2796		
125	2	0	SO_3986		
126	2	0	SO_3560		
127	2	0	SO_2300		
128	2	0	SO_0970		
129	2	0	SO_0052		
130	2	0	SO_1825		
131	2	0	SO_1327		
132	2	0	SO_1325		
133	2	0	SO_3988		
134	2	0	SO_0933		
135	2	0	SO_0429		
136	2	0	SO_2907		
137	2	0	SO_2274		
138	2	1	SO_0021		
139	2	0	SO_1930		
140	2	0	SO_0009		
141	2	0	SO_2477		
142	2	0	SO_2907		
143	2	0	SO_3112		
144	2	0	SO_1824		
145	2	0	SO_0756		
146	2	0	SO_4749		
147	2	0	SO_0224		
148	2	0	SO_4365		
149	2	0	SO_2222		
150	2	0	SO_4054		
151	2	0	SO_3741		
152	2	0	SO_1174		
153	2	0	SO_0223		
154	2	0	SO_0432		
155	2	0	SO_2406		
156	2	1	SO_1931		
157	2	0	SO_3545		
158	2	0	SO_2427		
159	2	0	SO_2907		
160	2	0	SO_2477		
161	2	0	SO_3741		
162	2	0	SO_1126		
163	2	0	SO_1931		
164	2	0	SO_0232		
165	2	0	SO_2427		
166	2	0	SO_1204		
167	2	0	SO_0818		
168	2	0	SO_2350		
169	2	0	SO_3942		
170	2	0	SO_3190		
171	2	0	SO_1825		
172	2	0	SO_2907		
173	2	0	SO_0224		
174	2	0	SO_0225		
175	2	0	SO_0691		
176	2	0	SO_0432		
177	2	0	SO_3930		
178	2	0	SO_0970		
179	2	0	SO_2427		
180	2	0	SO_0432		
181	2	0	SO_0275		
182	2	0	SO_2350		
183	2	0	SO_1490		
184	2	0	SO_0704		
185	2	0	SO_1150		
186	2	0	SO_3988		
187	2	0	SO_0783		
188	2	0	SO_2477		
189	2	0	SO_0246		
190	2	0	SO_1126		
191	2	0	SO_2907		
192	2	0	SO_0426		
193	2	0	SO_2427		
194	2	0	SO_2361		
195	2	0	SO_3888		
196	2	0	SO_0426		
197	2	0	SO_0842		
198	2	0	SO_0238		
199	2	0	SO_1932		
200	2	0	SO_2596		
201	2	0	SO_0221		
202	2	0	SO_1931		
203	2	0	SO_4410		
204	2	0	SO_1824		
205	2	0	SO_3238		
205	2	0	SO_3237		
206	2	0	SO_2264		
207	2	0	SO_1357		
208	2	0	SO_0704		
209	2	0	SO_1793		
210	2	1	SO_2903		
211	2	0	SO_2018		
212	2	0	SO_0429		
213	2	0	SO_1824		
214	2	0	SO_4365		
215	2	0	SO_2776		
216	2	0	SO_1174		
217	2	0	SO_3072		
218	2	0	SO_3546		
219	2	0	SO_3765		
220	2	0	SO_1897		
221	2	0	SO_0842		
222	2	0	SO_0970		
223	2	0	SO_0704		
224	2	0	SO_2087		
225	2	0	SO_2907		
226	2	0	SO_3539		
227	2	0	SO_3532		
228	1	0	SO_1824		
229	2	0	SO_0229		
229	2	0	SO_0217		
230	2	0	SO_0358		
231	2	0	SO_2021		
232	2	0	SO_0231		
233	2	0	SO_0769		
234	2	0	SO_A0161		
235	2	0	SO_2410		
236	2	0	SO_1932		
237	2	1	SO_1221		
238	2	0	SO_2016		
239	2	0	SO_3293		
240	2	0	SO_2907		
241	2	0	SO_2404		
242	2	1	SO_1139		
243	2	0	SO_1778		
244	2	0	SO_2350		
245	2	0	SO_3842		
246	2	0	SO_0229		
246	2	0	SO_0217		
247	2	0	SO_1217		
248	2	0	SO_2780		
249	2	0	SO_1829		
250	2	0	SO_0432		
251	2	0	SO_2427		
252	2	0	SO_0611		
253	2	0	SO_1894		
254	2	0	SO_1678		
255	2	0	SO_1551		
256	2	0	SO_2401		
257	2	0	SO_0229		
257	2	0	SO_0217		
258	2	0	SO_3189		
259	2	0	SO_0933		
260	2	0	SO_2486		
261	2	0	SO_0432		
262	2	0	SO_0242		
